gene	modules	n_primary_contexts	nonresponse_high_contexts	responder_high_contexts	nominal_nonresponse_contexts_p_lt_0_05	fdr10_nonresponse_contexts	ibd_weighted_hedges_g_responder_minus_non	ibd_median_auc_high_score_nonresponse	ibd_min_p	best_context	ibd_wave86_call	ibd_nonresponse_high	ibd_call	ra_available	ra_n_subjects	ra_n_responders	ra_n_nonresponders	ra_effect_responder_minus_non	ra_hedges_g_responder_minus_non	ra_auc_high_score_nonresponse	ra_p	ra_nonresponse_high	ra_call	ra_fdr_candidate_genes	psoriasis_ada_n_subjects	psoriasis_ada_n_responders	psoriasis_ada_n_nonresponders	psoriasis_ada_effect_responder_minus_non	psoriasis_ada_hedges_g_responder_minus_non	psoriasis_ada_auc_high_score_nonresponse	psoriasis_ada_p	psoriasis_ada_fdr	psoriasis_ada_nonresponse_high	psoriasis_ada_call	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	ms_wm_positive_nominal	ms_wm_negative_nominal	ms_wm_call	direct_h5ad_contexts	direct_positive_p05_disease_count	direct_positive_p05_diseases	direct_negative_p05_disease_count	direct_negative_p05_diseases	direct_positive_fdr10_disease_count	direct_negative_fdr10_disease_count	direct_top_positive_contexts	direct_top_negative_contexts	wave55_score	n_diseases_genetic_ge_0_25	diseases_genetic_ge_0_25	n_diseases_genetic_ge_0_5	diseases_genetic_ge_0_5	ms_genetic_association	ms_overall_score	strict_residual_disease_count	foundation_recommendation	wave62_score	wave62_call	manual_blocker	strong_l2g_disease_count	strong_l2g_diseases	ms_max_l2g_score	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	chembl_target_id	druggable_activity_count	wave61_best_call	wave61_best_manual_blocker	wave81_call	direct_perturbation	foundation_model_support	direct_perturbation_detail	foundation_model_detail	wave71_call	decision_reason	response_nonresponse_high_context_count	response_nominal_or_trend_context_count	response_mean_hedges_g_responder_minus_non	response_effect_sd	route_blocker	wave91_call	module_intervention_score
LAMP2	lysosomal_apc	4	3	1	3	3	-1.0678931204417523	0.8350074404761905	0.0002690595842235	GSE12251_UC_ACT1_baseline	PARK_DIRECTIONAL_NONRESPONSE_GENE	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	0.7758963799341309	1.0454817579416398	0.2276785714285714	0.004363215930667114	False	NO_SUPPORT	0.04317233334423169	14	9	5	-0.5574226429742809	-0.9350927637612546	0.7777777777777778	0.1393124351922721	0.8144849241386118	True	NONRESPONSE_HIGH_TREND	0.1348382785283046	0.4676148239106621	0.2874373653306042	0.9055783835864206	False	False	MS_WM_NULL_OR_WEAK	12	0		0		0	0			0.0	0.0		0.0		0.0	0.0	0.0					0.0			0.0			0.0				0.0	0.0					2	2	-0.3191680420871224	1.1836852585136481	NO_GO_LYSOSOMAL_MARKER_AUTOPHAGY_SYSTEMIC_RISK	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	3.0
HLA-DRA	hla_ii_apc;ifn_apc;mif_cd74_receptor_state	4	3	1	0	0	-0.5248950736751484	0.7089285714285714	0.1123625590575404	GSE12251_UC_ACT1_baseline	NO_GENE_LEVEL_CONVERGENCE	True	NONRESPONSE_HIGH_WEAK	True								False	INSUFFICIENT	1.0	14	9	5	-0.0862813365387537	-0.0608410407570356	0.6222222222222222	0.8884148665636814	0.929736488264318	True	NONRESPONSE_HIGH_WEAK	0.2891316379039903	0.7323559303695486	0.0967712300030488	0.8989378106274888	False	False	MS_WM_NULL_OR_WEAK	10	3	Crohn disease;Sjogren syndrome;ulcerative colitis	0		0	0	ibd_uc_epithelial:0.498,p=0.0298;ibd_crohn_epithelial:0.651,p=0.0328;sjogren_gland_epithelial:0.401,p=0.0335			0.0											0.0			0.0			0.0				0.0	0.0					2	0	-0.292868057216092	0.32813575351336294	NO_GO_BROAD_MHC_CLASS_II	PARK_RESPONSE_DIRECTIONS_WEAK_OR_UNDERPOWERED	3.0
MERTK	complement_phagocytosis;lipid_loader_repair	4	3	1	1	1	-0.3858509746932523	0.5264136904761905	0.013393151239282	GSE12251_UC_ACT1_baseline	PARK_DIRECTIONAL_NONRESPONSE_GENE	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	0.1039424346420979	0.11965626507710371	0.4665178571428571	0.6641791210078086	False	NO_SUPPORT	0.9340018889172309	14	9	5	-0.2936513981099827	-0.7527921307123007	0.7111111111111111	0.1266847604704688	0.8144849241386118	True	NONRESPONSE_HIGH_TREND	0.2471109034794576	0.34078643587681	0.4292940108131474	0.9195199515584406	False	False	MS_WM_NULL_OR_WEAK	12	0		2	Sjogren syndrome;ulcerative colitis	0	0		sjogren_gland_apc:-0.25,p=0.0108;ibd_uc_epithelial:-0.067,p=0.0173		0.0								1.555164396762848	NO_GO_WAVE62_TARGET_RESOLUTION		0.0		0.0	0.0			0.0	NO_GO_RESOLUTION_GUARDRAIL	descriptive_no_replication	NO_GO_NO_PERTURBATION_SUPPORT	0.0	0.0			NO_REOPEN_INSUFFICIENT_CONVERGENCE	candidate lacks direct perturbation or model support	2	2	-0.3396622801094831	0.4380543316295261	PARK_TAM_EFFEROCYTOSIS_RECEPTOR_DIRECTION_AND_AGONISM_ROUTE_UNRESOLVED	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	3.0
CCL3	inflammatory_nfkb	4	4	0	3	3	-1.3914078199742883	0.8479166666666667	8.3902184022792e-05	GSE16879_Crohn_colitis_Leuven_baseline	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	True	NONRESPONSE_HIGH_NOMINAL	True								False	INSUFFICIENT	1.0	14	9	5	-0.800505647907638	-0.5382821806694095	0.6666666666666667	0.3867046032666159	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	-0.2101297312042689	-0.2519333477061233	0.5505093145587491	0.9390010612097776	False	False	MS_WM_NULL_OR_WEAK	10	1	ulcerative colitis	0		0	0	ibd_uc_myeloid:0.783,p=0.0407			0.0											0.0			0.0			0.0				0.0	0.0					2	1	-0.964845000321849	0.6032509247565884	NO_GO_BROAD_CHEMOKINE_REDUNDANCY	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	2.5
CCL4	inflammatory_nfkb	4	4	0	3	3	-1.533330874218231	0.8694010416666667	0.0003529140606125	GSE16879_Crohn_colitis_Leuven_baseline	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	True	NONRESPONSE_HIGH_NOMINAL	True								False	INSUFFICIENT	1.0	14	9	5	-0.4502969977669068	-0.4596969621447494	0.6666666666666667	0.4123401944917162	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	-0.0981219137349036	-0.100840627648996	0.8114413599753555	0.9761732664217524	False	False	MS_WM_NULL_OR_WEAK	10	1	ulcerative colitis	0		0	0	ibd_uc_myeloid:0.68,p=0.0145			0.0											0.0			0.0			0.0				0.0	0.0					2	1	-0.9965139181814902	0.7591738197390003	NO_GO_BROAD_CHEMOKINE_REDUNDANCY	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	2.5
PLIN2	lipid_loader_repair	4	3	1	0	0	-0.1578972552265166	0.528125	0.0952038842349049	GSE16879_Crohn_colitis_Leuven_baseline	NO_GENE_LEVEL_CONVERGENCE	True	NONRESPONSE_HIGH_WEAK	True	46.0	32.0	14.0	-0.18477437080089926	-0.25784475880812124	0.5446428571428572	0.44003784548354913	True	NONRESPONSE_HIGH_WEAK	0.7320384178136287	14	9	5	-0.1372322943584141	-0.3209970434108142	0.5333333333333333	0.4717861507383435	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	0.6476104028056859	0.7408816807123307	0.1083756467628863	0.8989378106274888	False	False	MS_WM_NULL_OR_WEAK	12	0		0		0	0				0.0											0.0			0.0			0.0				0.0	0.0					3	0	-0.24557968581515066	0.08223873319843186	NO_GO_LIPID_DROPLET_MARKER_NOT_CONTROLLER	PARK_RESPONSE_DIRECTIONS_WEAK_OR_UNDERPOWERED	2.0
NFKBIA	inflammatory_nfkb	4	4	0	1	1	-0.6614932551524805	0.66875	0.0079130200120331	GSE12251_UC_ACT1_baseline	PARK_DIRECTIONAL_NONRESPONSE_GENE	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	0.7345529800597882	1.0611362114001073	0.2366071428571429	0.004796925927136855	False	NO_SUPPORT	0.04317233334423169	14	9	5	1.1556738992083655	1.156534146320252	0.1777777777777778	0.0329679466177527	0.7417787988994372	False	NO_SUPPORT	0.2903271300158536	0.4388326789978334	0.3094393661733699	0.9088031205133466	False	False	MS_WM_NULL_OR_WEAK	12	0		0		0	0			12.0	3.0	Crohn;Psoriasis;RA	3.0	Crohn;Psoriasis;RA	0.0	0.0	0.0		2.4539586917691087	NO_GO_WAVE62_TARGET_RESOLUTION		1.0	Psoriasis	0.0	1.0	Psoriasis		0.0	NO_GO_WAVE61_GUARDRAIL		NO_GO_NO_PERTURBATION_SUPPORT	0.0	0.0				candidate lacks direct perturbation or model support	1	1	0.5187257008559597	1.0232119915188622	NO_GO_GENERIC_NFKB_FEEDBACK_AXIS	NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	2.0
CD74	hla_ii_apc;ifn_apc;mif_cd74_receptor_state	4	3	1	0	0	-0.3013469828903419	0.5924479166666666	0.2175969710727107	GSE16879_Crohn_colitis_Leuven_baseline	NO_GENE_LEVEL_CONVERGENCE	True	NONRESPONSE_HIGH_WEAK	True	46.0	32.0	14.0	0.5859928691382426	0.8722031483028401	0.2700892857142857	0.02165847184821524	False	NO_SUPPORT	0.08860283937906234	14	9	5	0.2090459293912457	0.1642620123247771	0.5111111111111111	0.7026149340937561	0.8144849241386118	False	NO_SUPPORT	0.2553907019006836	0.5415320486815584	0.2187160729350419	0.8993702893651148	False	False	MS_WM_NULL_OR_WEAK	12	4	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0		0	0	t1d_ductal_cell:0.544,p=0.000375;sjogren_gland_epithelial:0.362,p=0.00173;ibd_crohn_epithelial:0.946,p=0.0132			0.0											0.0			0.0			0.0				0.0	0.0					1	0	0.24503939257909177	0.5909303820895032	NO_GO_BROAD_ANTIGEN_PRESENTATION_AXIS	NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	2.0
MSR1	complement_phagocytosis;lipid_loader_repair	4	1	3	0	0	0.2555285854339548	0.4416666666666666	0.1455129406117795	GSE14580_UC_Leuven_baseline	NO_GENE_LEVEL_CONVERGENCE	False	NO_SUPPORT	True	46.0	32.0	14.0	0.03932120785146653	0.049079825407852724	0.5	0.8637951394515956	False	NO_SUPPORT	0.9991169063975157	14	9	5	-0.3622343307657886	-0.2608925545248237	0.5333333333333333	0.6500168228226701	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	0.5659305923555848	1.0246413650870072	0.0313140694878595	0.8506970233122761	True	False	MS_WM_UP_NOMINAL	12	0		1	psoriasis	0	0		psoriasis_skin_apc:-0.334,p=0.00492		0.0											0.0			0.0			0.0				0.0	0.0					1	0	0.014571952105661276	0.2599342098281046	PARK_SCAVENGER_RECEPTOR_HOST_DEFENSE_AND_TISSUE_SELECTIVITY_UNRESOLVED	NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	1.5
GBP1	ifn_apc	4	4	0	2	2	-0.8449835988760043	0.7319568452380952	0.0078325601248904	GSE12251_UC_ACT1_baseline	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	0.29367644734123816	0.3464803376930525	0.3683035714285714	0.16893323377658692	False	NO_SUPPORT	0.34554525090665505	14	9	5	0.1280701299342087	0.1207778752023947	0.4	0.8546732819420805	0.92732706620163	False	NO_SUPPORT	0.491428502182563	0.8000728439177743	0.0681848307220474	0.8989378106274888	False	False	MS_WM_NULL_OR_WEAK	12	2	Crohn disease;ulcerative colitis	0		0	0	ibd_crohn_myeloid:2.005,p=0.00192;ibd_uc_myeloid:1.444,p=0.0102;ibd_crohn_epithelial:0.211,p=0.0205			0.0											0.0			0.0			0.0				0.0	0.0					1	1	-0.12590846199351904	0.6328800753345853	NO_GO_IFN_MARKER_NOT_DRUGGABLE_CONTROLLER	NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	1.5
GPNMB	lipid_loader_repair	4	4	0	0	0	-0.4940102664867415	0.6546875	0.0593992925429057	GSE16879_Crohn_colitis_Leuven_baseline	NO_GENE_LEVEL_CONVERGENCE	True	NONRESPONSE_HIGH_WEAK	True	46.0	32.0	14.0	0.5530605483065542	0.7697284758520732	0.2879464285714286	0.01402287379398626	False	NO_SUPPORT	0.07193666465907397	14	9	5	0.2852969377755601	0.3127096489382849	0.4222222222222223	0.5054725225116155	0.8144849241386118	False	NO_SUPPORT	1.4339584334150557	1.3559119980959509	0.0049097425501504	0.8344760564031432	True	False	MS_WM_UP_NOMINAL	12	0		1	ulcerative colitis	0	0		ibd_uc_myeloid:-0.436,p=0.0343		0.0											0.0			0.0			0.0				0.0	0.0					1	0	0.19614261943453884	0.6398826505676785	PARK_MARKER_REPAIR_STATE_WITH_ONCOLOGY_ADC_PRECEDENT_BUT_WEAK_CAUSALITY	NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	1.5
STAT1	ifn_apc	4	4	0	2	1	-0.6551686375677531	0.64453125	0.0348639091691701	GSE14580_UC_Leuven_baseline	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	0.5443056500454782	0.7345488854784136	0.2901785714285714	0.01124571028241394	False	NO_SUPPORT	0.07193666465907397	14	9	5	0.2170962464027229	0.3012807952311382	0.4	0.5831254599461986	0.8144849241386118	False	NO_SUPPORT	0.5378996098681981	0.6835132062150272	0.1363451431707629	0.8989378106274888	False	False	MS_WM_NULL_OR_WEAK	12	2	Crohn disease;ulcerative colitis	0		0	0	ibd_crohn_myeloid:0.911,p=0.00463;ibd_crohn_epithelial:0.347,p=0.0105;ibd_uc_myeloid:0.373,p=0.0249		-1.0	0.0		0.0		0.0	0.0	0.0	positive_control_not_candidate_promotion	1.704040303826332	NO_GO_WAVE62_TARGET_RESOLUTION		0.0		0.0	0.0			0.0	NO_GO_WAVE61_GUARDRAIL	generic_IFN_transcription_axis	NO_GO_PERTURBATION_FIRST_BLOCKED	0.0	0.0			PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED	JAK/IFN broad immunosuppression/prior art	1	1	0.12688701438059954	0.711082689681659	NO_GO_GENERIC_IFN_TRANSCRIPTION_AXIS	NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	1.5
CXCL10	ifn_apc	4	4	0	2	2	-0.8555808106223287	0.7279761904761906	0.0044056013660049	GSE14580_UC_Leuven_baseline	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	-0.038426997427669966	-0.043673107889453486	0.5580357142857143	0.882306480160059	True	NONRESPONSE_HIGH_WEAK	0.9991169063975157	14	9	5	0.6269425583515627	0.386683373614906	0.3777777777777777	0.4071699125645968	0.8144849241386118	False	NO_SUPPORT	1.0833175761966238	0.7361200117292042	0.0961728499382612	0.8989378106274888	False	False	MS_WM_NULL_OR_WEAK	12	0		0		0	0			1.0	0.0		0.0		0.0	0.0	0.0					0.0			0.0			0.0				0.0	0.0					2	1	-0.17085684829895872	0.6308223630532329	NO_GO_GENERIC_IFN_CHEMOKINE_AXIS	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	1.5
LIPA	lipid_loader_repair	4	2	2	0	0	-0.2766827407534235	0.5708333333333333	0.0902300159649081	GSE14580_UC_Leuven_baseline	NO_GENE_LEVEL_CONVERGENCE	True	NONRESPONSE_HIGH_WEAK	True	46.0	32.0	14.0	0.07950749920154651	0.11095483586002752	0.484375	0.7228506020981389	False	NO_SUPPORT	0.9567140321887133	14	9	5	0.1842381384071895	0.2899847883550518	0.4	0.6094744139778947	0.8144849241386118	False	NO_SUPPORT	0.4580110941773352	0.492824360482639	0.2725305004844303	0.9049965616313804	False	False	MS_WM_NULL_OR_WEAK	12	3	Crohn disease;psoriasis;type 1 diabetes mellitus	2	Crohn disease;ulcerative colitis	0	0	t1d_ductal_cell:0.316,p=0.00157;psoriasis_keratinocyte:0.304,p=0.00722;ibd_crohn_epithelial:0.102,p=0.0463	ibd_uc_myeloid:-0.36,p=0.0278;ibd_crohn_myeloid:-0.333,p=0.0383		0.0											0.0			0.0			0.0			NO_GO_NO_PERTURBATION_SUPPORT	0.0	0.0			NO_REOPEN_INSUFFICIENT_CONVERGENCE	candidate lacks direct perturbation or model support	1	0	0.04141896115388529	0.2896626495422518	PARK_LYSOSOMAL_ACID_LIPASE_BIOLOGY_INTERESTING_BUT_PRIOR_W81_NO_REOPEN	NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	1.0
APOE	lipid_loader_repair	4	3	1	1	1	-0.4744409394597065	0.625	0.0249460995415314	GSE16879_Crohn_colitis_Leuven_baseline	PARK_DIRECTIONAL_NONRESPONSE_GENE	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	-0.25420915722857784	-0.2777389332211223	0.5848214285714286	0.35078624774549255	True	NONRESPONSE_HIGH_WEAK	0.6577242145227985	14	9	5	0.5413090932403735	0.7924492941076007	0.2222222222222222	0.0855767457515688	0.8144849241386118	False	NO_SUPPORT	0.3729255468001433	0.6955020632543474	0.120208663256457	0.8989378106274888	False	False	MS_WM_NULL_OR_WEAK	12	0		1	psoriasis	0	0		psoriasis_keratinocyte:-1.111,p=0.0132;psoriasis_skin_apc:-0.171,p=0.0385	0.0	1.0	Crohn	1.0	Crohn	0.0	0.0	0.0	do_not_promote	1.961044430732727	NO_GO_WAVE62_TARGET_RESOLUTION		1.0	Crohn	0.0	0.0			0.0				0.0	0.0					2	1	0.013423140475590603	0.681787526174089	NO_GO_SECRETED_LIPID_CARRIER_MARKER_CNS_AND_SYSTEMIC_LIPID_RISK	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	1.0
CD36	lipid_loader_repair	4	4	0	0	0	-0.2450006444047326	0.4979166666666666	0.1637493286562087	GSE16879_Crohn_colitis_Leuven_baseline	NO_GENE_LEVEL_CONVERGENCE	True	NONRESPONSE_HIGH_WEAK	True	46.0	32.0	14.0	-0.18463325470620362	-0.23741144120164184	0.5535714285714286	0.4554905710840356	True	NONRESPONSE_HIGH_WEAK	0.7320384178136287	14	9	5	-0.1722674207501159	-0.2317481705488024	0.5555555555555556	0.6851767307951764	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	-0.99925985802596	-0.3343429712025927	0.4410063385874331	0.9214560346888634	False	False	MS_WM_NULL_OR_WEAK	12	0		1	Crohn disease	0	0		ibd_crohn_myeloid:-0.226,p=0.0474		0.0											0.0			0.0			0.0				0.0	0.0					3	0	-0.23805341871839228	0.006649520070992957	NO_GO_SYSTEMIC_LIPID_UPTAKE_RECEPTOR_LOW_SELECTIVITY	PARK_RESPONSE_DIRECTIONS_WEAK_OR_UNDERPOWERED	0.5
TNF	inflammatory_nfkb	4	4	0	1	1	-0.69030184630918	0.7105654761904762	0.0336287056607847	GSE12251_UC_ACT1_baseline	PARK_DIRECTIONAL_NONRESPONSE_GENE	True	NONRESPONSE_HIGH_NOMINAL	True								False	INSUFFICIENT	1.0	14	9	5	-0.2726043679354157	-0.2840666175635075	0.6	0.5155158131415208	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	0.0670686782474163	0.0670164743900601	0.8722537108638305	0.9807593074474495	False	False	MS_WM_NULL_OR_WEAK	10	0		1	type 1 diabetes mellitus	0	0		t1d_beta_cell:-0.019,p=0.0288	4.5	1.0	SLE	0.0		0.0	0.0	0.0					0.0			0.0			0.0				0.0	0.0					2	1	-0.48718423193634375	0.28725168500293335	NO_GO_EXISTING_ANTI_TNF_MS_RISK_AND_PRIOR_ART	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	0.5
SPP1	lipid_loader_repair	4	4	0	2	2	-1.2339279904417342	0.7854166666666667	8.237265150149616e-05	GSE16879_Crohn_colitis_Leuven_baseline	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	0.12367520217858627	0.1177359948903511	0.5044642857142857	0.6475863862748958	False	NO_SUPPORT	0.9340018889172309	14	9	5	-0.6125888668918347	-0.6407074404596456	0.5555555555555556	0.4051943014881931	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	0.0019111874426158	0.00274370793029	0.994792495277153	0.9992380443970746	False	False	MS_WM_NULL_OR_WEAK	12	0		1	Sjogren syndrome	0	0		sjogren_gland_apc:-0.182,p=0.0383	2.0	0.0		0.0		0.0	0.0	0.0					0.0			0.0			0.0				0.0	0.0					2	1	-0.5856331453370095	0.6775129266651636	NO_GO_OSTEOPONTIN_CD44_PRIOR_ART_AND_WEAK_SINGLE_GENE_MS	NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR	0.0
C1QB	complement_phagocytosis	4	4	0	0	0	-0.5141032493783735	0.6375	0.117285220019623	GSE16879_Crohn_colitis_Leuven_baseline	NO_GENE_LEVEL_CONVERGENCE	True	NONRESPONSE_HIGH_WEAK	True	46.0	32.0	14.0	0.5649530124807784	0.821713325955015	0.2857142857142857	0.014387332931814795	False	NO_SUPPORT	0.07193666465907397	14	9	5	-0.4890388001141463	-0.4958054217912428	0.6888888888888889	0.4192657739364246	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	-0.6194027951632819	-1.0162821663895538	0.0267818944347562	0.8482081970889975	False	True	MS_WM_DOWN_NOMINAL	12	1	Sjogren syndrome	1	ulcerative colitis	0	0	sjogren_gland_epithelial:0.061,p=0.0173	ibd_uc_myeloid:-0.445,p=0.0289	1.0	0.0		0.0		0.0	0.0	0.0					0.0			0.0			0.0				0.0	0.0					2	0	-0.06273178173820043	0.7660065691725167	NO_GO_COMPLEMENT_STATE_MARKER_AND_COMPLEMENT_PRIOR_ART	PARK_RESPONSE_DIRECTIONS_WEAK_OR_UNDERPOWERED	-0.5
TREM2	complement_phagocytosis;lipid_loader_repair	4	2	2	0	0	0.0319067623314567	0.5174107142857143	0.2145821933512254	GSE14580_UC_Leuven_baseline	NO_GENE_LEVEL_CONVERGENCE	False	NO_SUPPORT	True	46.0	32.0	14.0	0.038169844571383824	0.03823189537316206	0.5044642857142857	0.9103065147177366	False	NO_SUPPORT	0.9991169063975157	14	9	5	0.203638801584851	0.3748452425452571	0.4222222222222223	0.5767099267573692	0.8144849241386118	False	NO_SUPPORT	0.1899583473475061	0.2222195061215165	0.612719290366184	0.9476308467322015	False	False	MS_WM_NULL_OR_WEAK	12	0		0		0	0				0.0											0.0			0.0			0.0				0.0	0.0					0	0	0.1483279667499586	0.19619520636929766	PARK_REPAIR_PHAGOCYTOSIS_RECEPTOR_DIRECTION_AND_CNS_SELECTIVITY_UNRESOLVED	NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	-1.0
C1QC	complement_phagocytosis	4	4	0	0	0	-0.3736325378854154	0.5859375	0.1189913834015176	GSE16879_Crohn_colitis_Leuven_baseline	NO_GENE_LEVEL_CONVERGENCE	True	NONRESPONSE_HIGH_WEAK	True	46.0	32.0	14.0	0.5741121081467785	0.7537657094842807	0.2790178571428571	0.01894200106167792	False	NO_SUPPORT	0.08523900477755064	14	9	5	-0.6641767265352968	-0.636892067263588	0.6888888888888889	0.3034973586627287	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	-0.5091140011096105	-0.7024433059007789	0.1227617549928257	0.8989378106274888	False	False	MS_WM_NULL_OR_WEAK	12	0		1	ulcerative colitis	0	0		ibd_uc_myeloid:-0.463,p=0.0216		0.0											0.0			0.0			0.0				0.0	0.0					2	0	-0.08558629855490758	0.7387220316206005	NO_GO_COMPLEMENT_STATE_MARKER_AND_COMPLEMENT_PRIOR_ART	PARK_RESPONSE_DIRECTIONS_WEAK_OR_UNDERPOWERED	-1.5
C1QA	complement_phagocytosis	4	4	0	0	0	-0.4291323781586215	0.5967261904761905	0.214451637777752	GSE14580_UC_Leuven_baseline	NO_GENE_LEVEL_CONVERGENCE	True	NONRESPONSE_HIGH_WEAK	True	46.0	32.0	14.0	0.4116086402850277	0.5430684014805373	0.3549107142857143	0.1059161813149873	False	NO_SUPPORT	0.2508541136407594	14	9	5	-0.2903608262029492	-0.3254295725113236	0.6	0.443289101454296	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	-0.6196742601671481	-1.1811559166432954	0.0106910547297546	0.8349413280632139	False	True	MS_WM_DOWN_NOMINAL	12	0		1	ulcerative colitis	0	0		ibd_uc_myeloid:-0.504,p=0.0128	1.0	0.0		0.0		0.0	0.0	0.0					0.0			0.0			0.0				0.0	0.0					2	0	-0.07049784972980261	0.5338878406959768	NO_GO_COMPLEMENT_STATE_MARKER_AND_COMPLEMENT_PRIOR_ART	PARK_RESPONSE_DIRECTIONS_WEAK_OR_UNDERPOWERED	-1.5
ACSL1	lipid_loader_repair	4	4	0	3	2	-1.3279261929404635	0.8218005952380952	0.0004432276564367	GSE12251_UC_ACT1_baseline	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	True	NONRESPONSE_HIGH_NOMINAL	True	46.0	32.0	14.0	0.17766766272895537	0.18007044261002547	0.4508928571428571	0.5266539806543222	False	NO_SUPPORT	0.7992154575989294	14	9	5	0.2400802042604309	0.4198246571680756	0.4222222222222223	0.3924565886552149	0.8144849241386118	False	NO_SUPPORT	0.0335463402392637	0.0225704767524932	0.9588038259244676	0.995447887770418	False	False	MS_WM_NULL_OR_WEAK	12	2	Crohn disease;ulcerative colitis	2	Sjogren syndrome;type 1 diabetes mellitus	0	0	ibd_crohn_myeloid:1.702,p=0.0145;ibd_uc_myeloid:1.978,p=0.0228;ibd_crohn_epithelial:0.128,p=0.0324	t1d_ductal_cell:-0.101,p=0.0131;sjogren_gland_epithelial:-0.227,p=0.0299		0.0											0.0			0.0			0.0				0.0	0.0					1	1	-0.24267703105412083	0.9474675869816571	NO_GO_DEMOTED_TARGET_MARKER_AFTER_MODULE_ADJUSTED_TEST	NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	-1.5
LAMP1	lysosomal_apc	4	2	2	0	0	0.060235278112647	0.5041666666666667	0.2563028454128979	GSE14580_UC_Leuven_baseline	NO_GENE_LEVEL_CONVERGENCE	False	NO_SUPPORT	True	46.0	32.0	14.0	0.45939368712459666	0.6571280700219135	0.3214285714285714	0.05101599037912575	False	NO_SUPPORT	0.15304797113737723	14	9	5	-0.3365233907262902	-0.2965184181014396	0.5666666666666667	0.605511676898622	0.8144849241386118	True	NONRESPONSE_HIGH_WEAK	0.1622595591982687	0.499356848431654	0.2569490798415539	0.9037679420388188	False	False	MS_WM_NULL_OR_WEAK	12	0		0		0	0				0.0											0.0			0.0			0.0				0.0	0.0					1	0	0.14028164334437362	0.48183604215293957	NO_GO_LYSOSOMAL_MARKER_NOT_INTERVENTION_CONTROLLER	NO_GO_RESPONSE_SIGNAL_NOT_SHARED_ACROSS_DISEASES	-2.0
