gene	target_id	approved_name	wave55_score	closed_axis	n_diseases_genetic_ge_0_25	diseases_genetic_ge_0_25	n_diseases_genetic_ge_0_5	diseases_genetic_ge_0_5	n_diseases_overall_ge_0_3	ms_genetic_association	ms_overall_score	max_overall_score	max_clinical_score	max_literature_score	local_positive_disease_count	local_negative_disease_count	local_positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	strict_residual_disease_count	in_lipid_lysosomal_myeloid_neighborhood	best_direct_selectivity_score	best_direct_target_suppression	direct_evidence_calls	foundation_recommendation
LINC03040	ENSG00000181577	long intergenic non-protein coding RNA 3040	4.0	False	1	AITD	1	AITD	1	0.0	0.0	0.337833442500381	0.0	0.0	0	0		0.0	1.0	1.0	0	False				
LINGO1	ENSG00000169783	leucine rich repeat and Ig domain containing 1	4.0	False	1	T1D	1	T1D	1	0.0	0.0	0.38003185012941226	0.0	0.0	0	3		-1.9570397512340576	0.0862262537300892	0.8989378106274888	0	False				
LINGO2	ENSG00000174482	leucine rich repeat and Ig domain containing 2	4.0	False	2	Sjogren;T1D	0		0	0.0	0.0	0.277867603738712	0.0	0.0	0	0		-0.6699299596103241	0.4939986178284226	0.927200700507266	0	False				
LIPJ	ENSG00000204022	lipase family member J	4.0	False	2	AITD;T1D	0		0	0.0	0.0	0.2915530386461379	0.0	0.0	0	0		0.0	1.0	1.0	0	False				
LMO3	ENSG00000048540	LIM domain only 3	4.0	False	1	UC	1	UC	1	0.0	0.0	0.31373216063029297	0.0	0.0	0	0		0.652486154287879	0.4570399563803518	0.9237847734018162	0	False				
LONRF2	ENSG00000170500	LON peptidase N-terminal domain and ring finger 2	4.0	False	1	RA	1	RA	1	0.0	0.0	0.34052005404706975	0.0	0.012158615952232422	0	1		-1.1564354487162998	0.4009435528091094	0.9157809859344704	0	False				
LOXHD1	ENSG00000167210	lipoxygenase homology PLAT domains 1	4.0	False	2	AS;RA	0		0	0.0	0.0	0.27557124644249836	0.0	0.0	0	0		0.0	1.0	1.0	0	False				
LRCH1	ENSG00000136141	leucine rich repeats and calponin homology domain containing 1	4.0	False	1	RA	0		0	0.0	0.0	0.2726758193036988	0.0	0.0	2	2	Crohn disease;ulcerative colitis	0.1231899835356955	0.346667103558424	0.9141270983319502	0	False				
LRIT2	ENSG00000204033	leucine rich repeat, Ig-like and transmembrane domains 2	4.0	False	1	SLE	1	SLE	1	0.0	0.0	0.3443806905289727	0.0	0.0	0	0		0.0	1.0	1.0	0	False				
LRRC18	ENSG00000165383	leucine rich repeat containing 18	4.0	False	1	SLE	1	SLE	1	0.0	0.0	0.41597194011758604	0.0	0.0469457671488974	0	0		-0.3962472857083787	0.7139358296136165	0.9669212366619434	0	False				
LRRC32	ENSG00000137507	leucine rich repeat containing 32	4.0	False	2	Crohn;UC	0		0	0.0	0.0	0.23095677529880956	0.0	0.05506333199367259	0	1		0.0573237317814676	0.9303044527403108	0.9916317264603018	0	False				
LRRC52	ENSG00000162763	leucine rich repeat containing 52	4.0	False	1	AITD	1	AITD	1	0.0	0.0	0.3225959050601821	0.0	0.0	0	0		0.0	1.0	1.0	0	False				
LRRC69	ENSG00000214954	leucine rich repeat containing 69	4.0	False	1	T1D	0		0	0.0	0.0	0.23408953138322042	0.0	0.0	2	0	Sjogren syndrome;type 1 diabetes mellitus	-0.7299376045831156	0.4785415184294562	0.926038761164836	0	False				
LTBP1	ENSG00000049323	latent transforming growth factor beta binding protein 1	4.0	False	1	T1D	0		0	0.0	0.0	0.2145468355674293	0.0	0.0	2	1	Crohn disease;psoriasis	-0.6240549794883421	0.5940946451791034	0.9466965949245808	0	False				
LTBR	ENSG00000111321	lymphotoxin beta receptor	4.0	False	2	Celiac;Crohn	0		0	0.0	0.0	0.19161454332514855	0.0	0.18516445340165588	0	1		-0.4419991674012227	0.0346281449012922	0.8506970233122761	0	False				
LTF	ENSG00000012223	lactotransferrin	4.0	False	0		0		0	0.0	0.0	0.016685365599783602	0.0	0.13723079720040035	4	0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus	-3.3124210879584215	0.0043608765942223	0.8344760564031432	0	False				
MACF1	ENSG00000127603	microtubule actin crosslinking factor 1	4.0	False	1	T1D	1	T1D	1	0.0	0.0	0.3596990573003257	0.0	0.0	0	0		-0.1406275809893884	0.4779838834985351	0.9259761300234246	0	False				
MACROD2	ENSG00000172264	mono-ADP ribosylhydrolase 2	4.0	False	1	Sjogren	0		0	0.0	0.0	0.2519541707794922	0.0	0.0	2	1	Crohn disease;type 1 diabetes mellitus	-0.504525272483094	0.5792315748393255	0.9452150788886852	0	False				
MAGI1	ENSG00000151276	membrane associated guanylate kinase, WW and PDZ domain containing 1	4.0	False	1	AS	0		0	0.0	0.0	0.2308464917378569	0.0	0.0	2	2	type 1 diabetes mellitus;ulcerative colitis	-1.0774505534883296	0.217589251095547	0.8993702893651148	0	False				
MARCHF11	ENSG00000183654	membrane associated ring-CH-type finger 11	4.0	False	1	Crohn	1	Crohn	1	0.0	0.0	0.3239429365661314	0.0	0.0	0	1		0.0	1.0	1.0	0	False				
MBIP	ENSG00000151332	MAP3K12 binding inhibitory protein 1	4.0	False	1	AITD	1	AITD	1	0.0	0.0	0.4633951415736194	0.0	0.0	0	1		0.0136125715535317	0.9619223130340698	0.995706860815788	0	False				
MDGA2	ENSG00000139915	MAM domain containing glycosylphosphatidylinositol anchor 2	4.0	False	2	AITD;Crohn	0		0	0.0	0.0	0.22730339949731548	0.0	0.0	0	0		0.0	1.0	1.0	0	False				
MED15	ENSG00000099917	mediator complex subunit 15	4.0	False	1	Psoriasis	1	Psoriasis	1	0.0	0.0	0.3059340444560662	0.0	0.03343619386863916	0	0		-0.0142232098268699	0.90183680239855	0.985212747232168	0	False				
MFN2	ENSG00000116688	mitofusin 2	4.0	False	1	Psoriasis	1	Psoriasis	1	0.0	0.0	0.30765286960072835	0.0	0.0	0	0		-0.1025522678953017	0.4246016630438925	0.9195199515584406	0	False				
MMP7	ENSG00000137673	matrix metallopeptidase 7	4.0	False	0		0		0	0.0	0.0	0.18626824676108966	0.30548522579983955	0.01823792392834863	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.836134503047833	0.1901690746366625	0.8993702893651148	0	False				do_not_promote
MNDA	ENSG00000163563	myeloid cell nuclear differentiation antigen	4.0	False	1	T1D	0		0	0.0	0.0	0.22933011080076382	0.0	0.19816855305478814	2	0	Crohn disease;ulcerative colitis	-0.5017545703126203	0.3296222464368912	0.9141270983319502	0	False				
MPHOSPH8	ENSG00000196199	M-phase phosphoprotein 8	4.0	False	2	AS;RA	0		0	0.0	0.0	0.2832129721024808	0.0	0.0	0	2		-0.0073973467624721	0.9541131572558534	0.995447887770418	0	False				
MTCL1	ENSG00000168502	microtubule crosslinking factor 1	4.0	False	1	Psoriasis	0		0	0.0	0.0	0.16503735197332614	0.0	0.0	2	0	psoriasis;ulcerative colitis	0.1346134837490549	0.745381133508712	0.9703288564909704	0	False				
MYD88	ENSG00000172936	MYD88 innate immune signal transduction adaptor	4.0	False	0		0		0	0.0	0.0	0.19325173717231753	0.0	0.27838069277656496	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.389201776886912	0.0319927545594391	0.8506970233122761	0	False				
MYOCD	ENSG00000141052	myocardin	4.0	False	1	Sjogren	0		0	0.0	0.0	0.17795203908229054	0.0	0.0	2	0	Crohn disease;ulcerative colitis	0.1761058985984691	0.8910740649663816	0.9842134382901514	0	False				
MYRIP	ENSG00000170011	myosin VIIA and Rab interacting protein	4.0	False	2	AITD;UC	0		0	0.0	0.0	0.2875744076260605	0.0	0.0	0	1		-0.0806494090483695	0.948864406866589	0.9945599832682708	0	False				
NADSYN1	ENSG00000172890	NAD synthetase 1	4.0	False	1	SLE	0		0	0.0	0.0	0.26294070758321364	0.0	0.04164832572637613	2	0	psoriasis;ulcerative colitis	-0.2971404523066212	0.1120612435266447	0.8989378106274888	0	False				
NBL1	ENSG00000158747	NBL1, DAN family BMP antagonist	4.0	False	1	AITD	1	AITD	1	0.0	0.0	0.30468813774888	0.0	0.0	0	3		0.0073260984783392	0.9818678857029722	0.9982687727683835	0	False				
NCOA5	ENSG00000124160	nuclear receptor coactivator 5	4.0	False	2	AS;RA	0		0	0.0	0.0	0.260020835485803	0.0	0.02735688589252295	0	0		-0.1231855270103015	0.7161949690899326	0.9671831887796244	0	False				
NELFE	ENSG00000204356	negative elongation factor complex member E	4.0	False	2	AS;RA	0		2	0.0	0.0	0.3045948115277786	0.0	0.02870784322054877	0	0		-0.2906828013820863	0.1047965448413678	0.8989378106274888	0	False				
NELL2	ENSG00000184613	neural EGFL like 2	4.0	False	1	SLE	1	SLE	1	0.0	0.0	0.3063151825367375	0.0	0.0	0	1		-0.0671745230923699	0.9665717035920746	0.9968305115940588	0	False				
NEMP2	ENSG00000189362	nuclear envelope integral membrane protein 2	4.0	False	1	SLE	1	SLE	1	0.0	0.0	0.34682035757947666	0.0	0.07599134970145263	0	0		-0.4611747424273682	0.3216746472002066	0.9120886140544946	0	False				
NEU4	ENSG00000204099	neuraminidase 4	4.0	False	1	UC	1	UC	1	0.0	0.0	0.38493605773364503	0.0	0.14590339142678904	0	2		-1.4242217379965345	0.1444768095029936	0.8989378106274888	0	False				
NINJ2	ENSG00000171840	ninjurin 2	4.0	False	1	AITD	1	AITD	1	0.0	0.0	0.3464620149048553	0.0	0.0	0	1		-1.6744229974037754	0.0969388385052429	0.8989378106274888	0	False				
NLRP5	ENSG00000171487	NLR family pyrin domain containing 5	4.0	False	1	Celiac	1	Celiac	1	0.0	0.0	0.3415524838948486	0.0	0.0	0	0		0.0	1.0	1.0	0	False				
NMI	ENSG00000123609	N-myc and STAT interactor	4.0	False	0		0		0	0.0	0.0	0.018884378472432965	0.0	0.0	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.1366878120920951	0.5370361570982254	0.9373514284920804	0	False				
NOP58	ENSG00000055044	NOP58 ribonucleoprotein	4.0	False	1	AITD	1	AITD	1	0.0	0.0	0.3197518377793707	0.0	0.0	0	0		0.1799062320274345	0.3868083118611331	0.9151772047590584	0	False				
NR2F1	ENSG00000175745	nuclear receptor subfamily 2 group F member 1	4.0	False	1	SLE	1	SLE	1	0.0	0.0	0.3165591446729015	0.0	0.0	0	1		-0.6687396074209744	0.6048629630509365	0.9468238779494486	0	False				
NRG3	ENSG00000185737	neuregulin 3	4.0	False	1	SLE	1	SLE	1	0.0	0.0	0.32187535808404444	0.0	0.0	0	0		0.0580254289377926	0.9554893303705876	0.995447887770418	0	False				
NRXN3	ENSG00000021645	neurexin 3	4.0	False	2	Celiac;T1D	0		0	0.0	0.0	0.2519541707794922	0.0	0.0	0	0		-0.3311352425531102	0.7436398377296074	0.9698808796025667	0	False				
OCM	ENSG00000122543	oncomodulin	4.0	False	1	T1D	1	T1D	1	0.0	0.0	0.31563764110036774	0.0	0.0	0	0		0.0	1.0	1.0	0	False				
PADI2	ENSG00000117115	peptidyl arginine deiminase 2	4.0	False	1	RA	1	RA	1	0.0	0.0	0.5009948961582128	0.0	0.9037445528788103	0	1		0.1865527579655506	0.4142898792982392	0.9185195974256102	0	False				
PCSK2	ENSG00000125851	proprotein convertase subtilisin/kexin type 2	4.0	False	2	Celiac;T1D	0		0	0.0	0.0	0.28499720674010137	0.0	0.042512938416312665	0	2		0.0	1.0	1.0	0	False				
PCSK5	ENSG00000099139	proprotein convertase subtilisin/kexin type 5	4.0	False	1	UC	0		0	0.0	0.0	0.2608962416613034	0.0	0.06079307976116211	1	0	type 1 diabetes mellitus	0.7718914547072426	0.0337636222414947	0.8506970233122761	0	False				
PDE2A	ENSG00000186642	phosphodiesterase 2A	4.0	False	1	RA	1	RA	1	0.0	0.0	0.3471586242642304	0.16929184016823612	0.05319394479101684	0	0		0.0788323875758312	0.8720849332016521	0.9807593074474495	0	False				
PDE7A	ENSG00000205268	phosphodiesterase 7A	4.0	False	1	RA	0		0	0.0	0.0	0.2728730603615481	0.16929184016823612	0.14709729996543186	2	0	Crohn disease;ulcerative colitis	-0.0072318739970285	0.974899603319661	0.9978591419243252	0	False				
PDE7B	ENSG00000171408	phosphodiesterase 7B	4.0	False	2	AITD;SLE	0		1	0.0	0.3401101749476969	0.3401101749476969	0.12158615952232422	0.0	0	2		-0.4982794359607982	0.6505963184163501	0.9533589160781266	0	False				
PDZD8	ENSG00000165650	PDZ domain containing 8	4.0	False	1	RA	0		0	0.0	0.0	0.2713345152534978	0.0	0.0	2	0	Crohn disease;ulcerative colitis	0.1071725696606975	0.5409559561126386	0.9385830984757956	0	False				
PDZRN3	ENSG00000121440	PDZ domain containing ring finger 3	4.0	False	2	AS;RA	0		0	0.0	0.0	0.269874168238438	0.0	0.0	0	2		-1.010297126017602	0.3551884101819086	0.9141270983319502	0	False				
PEX14	ENSG00000142655	peroxisomal biogenesis factor 14	4.0	False	1	AS	0		0	0.0	0.0	0.225187545171874	0.0	0.0	2	0	psoriasis;type 1 diabetes mellitus	0.0401349815884488	0.8579754609911718	0.979652310372103	0	False				
PGBD5	ENSG00000177614	piggyBac transposable element derived 5	4.0	False	1	SLE	1	SLE	1	0.0	0.0	0.3144460115198426	0.0	0.0	0	2		1.547807991420612	0.0652686469005705	0.8989378106274888	0	False				
PHF19	ENSG00000119403	PHD finger protein 19	4.0	False	1	RA	0		0	0.0	0.0	0.27038143854938235	0.0	0.1839645827299073	2	0	Crohn disease;psoriasis	0.0966681699517781	0.6367610427454619	0.9516720539073452	0	False				
PI3	ENSG00000124102	peptidase inhibitor 3	4.0	False	0		0		0	0.0	0.0	0.02169337813604065	0.0	0.178419798941487	4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	0.0	1.0	1.0	0	False				
PIK3CA	ENSG00000121879	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	4.0	False	2	AS;RA	0		0	0.0	0.0	0.2984531278216788	0.0	0.88095425428096	0	0		0.2095050412142054	0.3410658394677561	0.9141270983319502	0	False	-0.0030035123575395	0.0	null_or_wrong_direction	
PIK3R2	ENSG00000105647	phosphoinositide-3-kinase regulatory subunit 2	4.0	False	0		0		1	0.0	0.35485945006501907	0.35485945006501907	0.0	0.06383273374922022	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	-0.039543595896534	0.8467976277585396	0.976211196296546	0	False				
PIK3R5	ENSG00000141506	phosphoinositide-3-kinase regulatory subunit 5	4.0	False	1	AITD	1	AITD	1	0.0	0.0	0.4118702482513967	0.0	0.0	0	0		0.0369197182293259	0.8448468893355211	0.9761732664217524	0	False				
PITX1	ENSG00000069011	paired like homeodomain 1	4.0	False	1	UC	0		0	0.0	0.0	0.2681507357506291	0.0	0.20956725551000607	2	0	Crohn disease;Sjogren syndrome	0.0	1.0	1.0	0	False				
PKIB	ENSG00000135549	cAMP-dependent protein kinase inhibitor beta	4.0	False	1	UC	0		0	0.0	0.0	0.2374552447807493	0.0	0.0	2	0	psoriasis;type 1 diabetes mellitus	-0.32658049742574	0.7919756723403205	0.974917752125706	0	False				
PLAC8	ENSG00000145287	placenta associated 8	4.0	False	1	SLE	0		0	0.0	0.0	0.2546740561578034	0.0	0.012158615952232422	2	1	Crohn disease;ulcerative colitis	-1.975842374894036	0.1104378393565508	0.8989378106274888	0	False				
PLAU	ENSG00000122861	plasminogen activator, urokinase	4.0	False	1	Psoriasis	0		0	0.0	0.0	0.2208464876930628	0.0	0.6181962812183659	2	0	psoriasis;type 1 diabetes mellitus	0.5002676019640493	0.2344794755680006	0.9004758652001262	0	False				
PLD2	ENSG00000129219	phospholipase D2	4.0	False	1	SLE	0		0	0.0	0.0	0.22499036596471594	0.0	0.20973612517600929	2	0	Sjogren syndrome;type 1 diabetes mellitus	0.1813179149866606	0.4419333064980491	0.9214560346888634	0	False				
PLGRKT	ENSG00000107020	plasminogen receptor with a C-terminal lysine	4.0	False	1	AITD	1	AITD	1	0.0	0.0	0.34941092766887266	0.0	0.0	0	0		-1.609733660969085	0.1327152070570021	0.8989378106274888	0	False				
PLPPR1	ENSG00000148123	phospholipid phosphatase related 1	4.0	False	2	AITD;AS	0		0	0.0	0.0	0.18932723981475227	0.0	0.0	0	0		0.0	1.0	1.0	0	False				
PLXNA4	ENSG00000221866	plexin A4	4.0	False	1	T1D	1	T1D	1	0.0	0.0	0.3181143691952979	0.0	0.0	0	0		-1.517886408579546	0.1441974401632644	0.8989378106274888	0	False				
PLXNC1	ENSG00000136040	plexin C1	4.0	False	1	Psoriasis	1	Psoriasis	1	0.0	0.0	0.33904106063529	0.0	0.0	0	0		0.3571527913700763	0.3690837183474555	0.9141270983319502	0	False				
PNPLA1	ENSG00000180316	patatin like domain 1, omega-hydroxyceramide transacylase 	4.0	False	2	RA;UC	0		1	0.0	0.0	0.30406090051140333	0.0	0.0	0	0		0.0	1.0	1.0	0	False				
POU2F3	ENSG00000137709	POU class 2 homeobox 3	4.0	False	1	Psoriasis	1	Psoriasis	1	0.0	0.0	0.40574291775840865	0.0	0.037995674850726316	0	0		0.0	1.0	1.0	0	False				
POU3F1	ENSG00000185668	POU class 3 homeobox 1	4.0	False	1	RA	1	RA	1	0.0	0.0	0.3077419229556078	0.0	0.09118961964174316	0	2		0.9268300037684636	0.1369286836432147	0.8989378106274888	0	False				
POU5F1B	ENSG00000212993	POU class 5 homeobox 1B	4.0	False	1	AITD	1	AITD	1	0.0	0.0	0.3113380289178633	0.0	0.0	0	1		-1.1298776652155786	0.2480100661360789	0.9004758652001262	0	False				
PPEF2	ENSG00000156194	protein phosphatase with EF-hand domain 2	4.0	False	2	AS;RA	0		0	0.0	0.0	0.2858546729516351	0.0	0.0	0	0		-0.0964068728721221	0.9277536691632362	0.990664993050244	0	False				
PPIF	ENSG00000108179	peptidylprolyl isomerase F	4.0	False	0		0		0	0.0	0.0	0.13838950663972324	0.0	0.09710005795185614	4	0	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	0.0794098483837952	0.7293829927625533	0.9684447890186522	0	False				
PPP2R2A	ENSG00000221914	protein phosphatase 2 regulatory subunit Balpha	4.0	False	2	Crohn;SLE	0		0	0.0	0.0	0.23955052826707504	0.0	0.14573452176078583	0	1		-0.0628334564419379	0.7734146696397527	0.9733233960040236	0	False				
PRDM11	ENSG00000019485	PR/SET domain 11	4.0	False	1	AITD	1	AITD	1	0.0	0.0	0.4351189052744471	0.0	0.0	0	0		-0.8324326075356607	0.3172159948739947	0.9114975958331336	0	False				
PRKX	ENSG00000183943	protein kinase cAMP-dependent X-linked catalytic subunit	4.0	False	1	AITD	1	AITD	1	0.0	0.0	0.3343051596491577	0.0	0.0	0	1		0.2866313820833408	0.1659803874299681	0.8989378106274888	0	False				
PRL	ENSG00000172179	prolactin	4.0	False	2	Celiac;UC	0		0	0.0	0.0	0.2670363496017759	0.0	0.1916674270333677	0	0		0.0	1.0	1.0	0	False				
PRM1	ENSG00000175646	protamine 1	4.0	False	2	Crohn;T1D	0		0	0.0	0.0	0.2944332107371475	0.0	0.0	0	0		0.0	1.0	1.0	0	False				
PRPS2	ENSG00000101911	phosphoribosyl pyrophosphate synthetase 2	4.0	False	1	SLE	0		0	0.0	0.0	0.2929991705688423	0.0	0.11145397956213055	2	0	Crohn disease;type 1 diabetes mellitus	0.0824739934646512	0.6966717271094872	0.9646161727383372	0	False				
PRR11	ENSG00000068489	proline rich 11	4.0	False	1	T1D	0		0	0.0	0.0	0.157906153236006	0.0	0.0	2	0	Crohn disease;Sjogren syndrome	-1.1150789978146234	0.3168364006488824	0.9114975958331336	0	False				
PRR15L	ENSG00000167183	proline rich 15 like	4.0	False	1	T1D	1	T1D	1	0.0	0.0	0.3266968502667831	0.0	0.0	0	0		0.8737239429504531	0.4233682075034777	0.9195199515584406	0	False				
PSD3	ENSG00000156011	pleckstrin and Sec7 domain containing 3	4.0	False	1	T1D	0		0	0.0	0.0	0.26786103362897296	0.0	0.0	2	0	Crohn disease;ulcerative colitis	-0.0417133155183897	0.8692269982748022	0.9805729375988868	0	False				
PSMD5	ENSG00000095261	proteasome 26S subunit, non-ATPase 5	4.0	False	1	Crohn	1	Crohn	1	0.0	0.0	0.3214233406677936	0.0	0.0	0	1		0.2319940870004462	0.3443194666813403	0.9141270983319502	0	False				
PSTPIP1	ENSG00000140368	proline-serine-threonine phosphatase interacting protein 1	4.0	False	1	RA	1	RA	1	0.0	0.0	0.378713014241937	0.0	0.11449363355018863	0	0		-1.2972136462695296	0.1284373074113067	0.8989378106274888	0	False				
RAP1B	ENSG00000127314	RAP1B, member of RAS oncogene family	4.0	False	1	UC	0		0	0.0	0.0	0.18958477706533777	0.0	0.0	2	0	Crohn disease;ulcerative colitis	0.0394834118578852	0.7594365414316497	0.9713683869581212	0	False				
RASA2	ENSG00000155903	RAS p21 protein activator 2	4.0	False	1	Crohn	1	Crohn	1	0.0	0.0	0.3086112848969201	0.0	0.0	0	0		-0.0488289882566377	0.8240213893701008	0.9761732664217524	0	False				
RASSF3	ENSG00000153179	Ras association domain family member 3	4.0	False	1	Sjogren	0		0	0.0	0.0	0.24102129484586135	0.0	0.0	2	0	Crohn disease;ulcerative colitis	0.5910482437201097	0.085880728565523	0.8989378106274888	0	False				
RASSF4	ENSG00000107551	Ras association domain family member 4	4.0	False	1	RA	0		0	0.0	0.0	0.2744422643496169	0.0	0.024317231904464845	2	1	psoriasis;type 1 diabetes mellitus	-0.7136691472403545	0.0183739957767125	0.8372898579012464	0	False				
RBKS	ENSG00000171174	ribokinase	4.0	False	1	Celiac	0		0	0.0	0.0	0.2395570707838336	0.0	0.0	2	1	psoriasis;type 1 diabetes mellitus	1.6263723868966982	0.1183332761982892	0.8989378106274888	0	False				
RBMS3	ENSG00000144642	RNA binding motif single stranded interacting protein 3	4.0	False	1	AITD	1	AITD	1	0.0	0.0	0.35574366534627955	0.0	0.0	0	1		-0.7648389668114062	0.3994668424350541	0.9157809859344704	0	False				
RDH12	ENSG00000139988	retinol dehydrogenase 12	4.0	False	1	AITD	1	AITD	1	0.0	0.0	0.3453798727200914	0.0	0.0	0	0		-0.0858061238421101	0.9377078894250312	0.9929875788143055	0	False				
RELT	ENSG00000054967	RELT TNF receptor	4.0	False	1	Crohn	0		0	0.0	0.0	0.23051548885296275	0.0	0.0	2	0	Crohn disease;ulcerative colitis	-0.0018098996711817	0.9948302382925892	0.9992380443970746	0	False				
RGS13	ENSG00000127074	regulator of G protein signaling 13	4.0	False	1	UC	1	UC	1	0.0	0.0	0.32512779295970257	0.0	0.0	0	2		0.1814380740759391	0.8862866132222352	0.9842134382901514	0	False				
RNF216	ENSG00000011275	ring finger protein 216	4.0	False	2	Crohn;RA	0		0	0.0	0.0	0.2636707829462367	0.0	0.0	0	1		0.0009042385399613	0.9951604422427676	0.9994531774643336	0	False				
RPS26	ENSG00000197728	ribosomal protein S26	4.0	False	1	T1D	1	T1D	1	0.0	0.0	0.4442740877655455	0.0	0.7673900524962401	0	0		-0.1433066409587589	0.7406197947152741	0.9693303715651268	0	False				
RPS6KA2	ENSG00000071242	ribosomal protein S6 kinase A2	4.0	False	1	AS	0		0	0.0	0.0	0.2125835298229736	0.0	0.0	2	0	Crohn disease;psoriasis	0.2424432202963231	0.367918714147697	0.9141270983319502	0	False				
RSRC1	ENSG00000174891	arginine and serine rich coiled-coil 1	4.0	False	1	SLE	0		0	0.0	0.0	0.20499806540137924	0.0	0.0	1	0	type 1 diabetes mellitus	0.6350310860885449	0.0391565226820859	0.852879556624094	0	False				
RSRP1	ENSG00000117616	arginine and serine rich protein 1	4.0	False	1	RA	1	RA	1	0.0	0.0	0.3189345408584403	0.0	0.0	0	0		-0.3831787462562577	0.0312583713807115	0.8506970233122761	0	False				
RTRAF	ENSG00000087302	RNA transcription, translation and transport factor	4.0	False	1	Celiac	1	Celiac	1	0.0	0.0	0.3244130945970308	0.0	0.0	0	0		0.0	1.0	1.0	0	False				
RUBCNL	ENSG00000102445	rubicon like autophagy enhancer	4.0	False	1	T1D	0		1	0.0	0.0	0.30174360445888876	0.0	0.0	2	0	Crohn disease;ulcerative colitis	0.0	1.0	1.0	0	False				
SCD	ENSG00000099194	stearoyl-CoA desaturase	4.0	False	0		0		1	0.0	0.46353208413801955	0.46353208413801955	0.0	0.051231679272059336	4	1	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.3699574700771606	0.1572805657312676	0.8989378106274888	0	False				
SCG2	ENSG00000171951	secretogranin II	4.0	False	1	Psoriasis	1	Psoriasis	1	0.0	0.0	0.33040694312355184	0.0	0.0	0	1		-0.0010128807825162	0.9991845363908476	0.999536131442628	0	False				
SCRN1	ENSG00000136193	secernin 1	4.0	False	1	Psoriasis	1	Psoriasis	1	0.0	0.0	0.3162949547621777	0.0	0.0	0	2		0.1316316929067831	0.5181953007532639	0.9350799934355604	0	False				
SDCCAG8	ENSG00000054282	SHH signaling and ciliogenesis regulator SDCCAG8	4.0	False	1	AITD	1	AITD	1	0.0	0.0	0.38154112283376723	0.0	0.0	0	0		-0.1861915047117719	0.3523083080571921	0.9141270983319502	0	False				
SEC16A	ENSG00000148396	SEC16 homolog A, endoplasmic reticulum export factor	4.0	False	1	Crohn	0		1	0.0	0.0	0.30188674564791496	0.0	0.0	2	0	Crohn disease;psoriasis	-0.1814199776179652	0.294449718465671	0.9075266904195072	0	False				
SEL1L3	ENSG00000091490	SEL1L family member 3	4.0	False	0		0		0	0.0	0.0	0.13106505292009463	0.0	0.0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.922501683138024	0.0181382735511015	0.8372898579012464	0	False				do_not_promote_from_foundation_model
SEMA6D	ENSG00000137872	semaphorin 6D	4.0	False	1	UC	1	UC	1	0.0	0.0	0.33738752777144926	0.0	0.04255515583281348	0	1		-0.0620023618155709	0.841189644087431	0.9761732664217524	0	False				
SETBP1	ENSG00000152217	SET binding protein 1	4.0	False	1	Crohn	1	Crohn	1	0.0	0.0	0.39291238757052405	0.0	0.01823792392834863	0	0		-0.4839813013374012	0.1081579312387448	0.8989378106274888	0	False				
SGCZ	ENSG00000185053	sarcoglycan zeta	4.0	False	2	RA;UC	0		0	0.0	0.0	0.2663119991645199	0.0	0.0	0	0		0.0	1.0	1.0	0	False				
SHC1	ENSG00000160691	SHC adaptor protein 1	4.0	False	1	Crohn	0		0	0.0	0.0	0.27772023903386656	0.0	0.01823792392834863	2	0	Crohn disease;ulcerative colitis	-0.3019154989651689	0.1032872182928623	0.8989378106274888	0	False				
SHC4	ENSG00000185634	SHC adaptor protein 4	4.0	False	1	T1D	1	T1D	1	0.0	0.0	0.38536233261540476	0.0	0.0	0	0		-0.4449643684182103	0.7249525867642096	0.9677805697088556	0	False				
SHISAL1	ENSG00000138944	shisa like 1	4.0	False	2	AITD;SLE	0		0	0.0	0.0	0.2710706117155614	0.0	0.0	0	0		0.0	1.0	1.0	0	False				
SIK2	ENSG00000170145	salt inducible kinase 2	4.0	False	1	AITD	0		0	0.0	0.0	0.18499790007203848	0.0	0.0	2	0	Crohn disease;ulcerative colitis	0.066109353085995	0.7098905852185927	0.9669212366619434	0	False				
SIRPB1	ENSG00000101307	signal regulatory protein beta 1	4.0	False	1	T1D	0		0	0.0	0.0	0.192912690789768	0.0	0.0	2	0	Crohn disease;ulcerative colitis	-1.0021015578708674	0.4504705734651159	0.92251961372049	0	False				
SLC22A23	ENSG00000137266	solute carrier family 22 member 23	4.0	False	1	Crohn	1	Crohn	1	0.0	0.0	0.31593518718468083	0.0	0.012158615952232422	0	0		0.0373729777434803	0.9246671187640044	0.9900445491146652	0	False				
