gene	contrast	timepoint	case	control	log2fc	note
HLA-DPA1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	0.7353887906176979	single CPM column per condition; descriptive only
HLA-DPB1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	0.7138474399686601	single CPM column per condition; descriptive only
HLA-DRA	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	0.6599443853354874	single CPM column per condition; descriptive only
HLA-DRB1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	0.8007105244083377	single CPM column per condition; descriptive only
IFI30	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	0.48340977041245203	single CPM column per condition; descriptive only
IFIT1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	-0.6449657948964944	single CPM column per condition; descriptive only
IFIT2	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	-0.11488693164015196	single CPM column per condition; descriptive only
IRF1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	0.9378852242917777	single CPM column per condition; descriptive only
ISG15	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	0.585148896388139	single CPM column per condition; descriptive only
LAMP1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	-0.7650552359504506	single CPM column per condition; descriptive only
LAMP2	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	0.026514748905306362	single CPM column per condition; descriptive only
LAMP3	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	0.42825438393855464	single CPM column per condition; descriptive only
NLRC5	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	-0.18849016327111467	single CPM column per condition; descriptive only
RFX5	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	0.43340750218150426	single CPM column per condition; descriptive only
STAT1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	-0.16380914467703356	single CPM column per condition; descriptive only
TAP1	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	0.6877808574078319	single CPM column per condition; descriptive only
TAP2	D4_IFNy_memory_vs_D4_PBS_matched_LPS	6H	D4_IFNy_LPS6H	D4_PBS_LPS6H	0.5374644826830677	single CPM column per condition; descriptive only
B2M	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.9226568930750645	single CPM column per condition; descriptive only
CD74	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-1.0071674190623803	single CPM column per condition; descriptive only
CIITA	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-1.9542673318116277	single CPM column per condition; descriptive only
CTSB	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	0.34364576189302376	single CPM column per condition; descriptive only
CTSD	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	0.36007006957596666	single CPM column per condition; descriptive only
CTSL	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.4124913596656903	single CPM column per condition; descriptive only
CTSS	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.042733575784497546	single CPM column per condition; descriptive only
CXCL10	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-4.199526168969792	single CPM column per condition; descriptive only
CXCL9	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-4.695671075627877	single CPM column per condition; descriptive only
GBP1	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-5.052613897615008	single CPM column per condition; descriptive only
GBP2	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-3.0519577636685646	single CPM column per condition; descriptive only
HLA-DMA	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.9148903562980575	single CPM column per condition; descriptive only
HLA-DMB	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-1.0434012108047934	single CPM column per condition; descriptive only
HLA-DPA1	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-1.1858714320992991	single CPM column per condition; descriptive only
HLA-DPB1	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.963215950920782	single CPM column per condition; descriptive only
HLA-DRA	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.8983422396130969	single CPM column per condition; descriptive only
HLA-DRB1	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.940740337609693	single CPM column per condition; descriptive only
IFI30	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.35374033459240617	single CPM column per condition; descriptive only
IFIT1	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-3.146861414227657	single CPM column per condition; descriptive only
IFIT2	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-4.155866027590128	single CPM column per condition; descriptive only
IRF1	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-3.9261439194936916	single CPM column per condition; descriptive only
ISG15	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-2.7374546268646633	single CPM column per condition; descriptive only
LAMP1	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	0.7281002400792591	single CPM column per condition; descriptive only
LAMP2	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.12127479550779441	single CPM column per condition; descriptive only
LAMP3	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.5646227287254209	single CPM column per condition; descriptive only
NLRC5	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-1.3408703808301272	single CPM column per condition; descriptive only
RFX5	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.805236552451376	single CPM column per condition; descriptive only
STAT1	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-3.352641139926016	single CPM column per condition; descriptive only
TAP1	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-2.7776511108114237	single CPM column per condition; descriptive only
TAP2	D4_IFNy_rux_vs_D4_IFNy_LPS0H	LPS0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-2.0360130275995907	single CPM column per condition; descriptive only
B2M	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.9226568930750645	single CPM column per condition; descriptive only
CD74	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-1.0071674190623803	single CPM column per condition; descriptive only
CIITA	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-1.9542673318116277	single CPM column per condition; descriptive only
CTSB	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	0.34364576189302376	single CPM column per condition; descriptive only
CTSD	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	0.36007006957596666	single CPM column per condition; descriptive only
CTSL	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.4124913596656903	single CPM column per condition; descriptive only
CTSS	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.042733575784497546	single CPM column per condition; descriptive only
CXCL10	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-4.199526168969792	single CPM column per condition; descriptive only
CXCL9	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-4.695671075627877	single CPM column per condition; descriptive only
GBP1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-5.052613897615008	single CPM column per condition; descriptive only
GBP2	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-3.0519577636685646	single CPM column per condition; descriptive only
HLA-DMA	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.9148903562980575	single CPM column per condition; descriptive only
HLA-DMB	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-1.0434012108047934	single CPM column per condition; descriptive only
HLA-DPA1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-1.1858714320992991	single CPM column per condition; descriptive only
HLA-DPB1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.963215950920782	single CPM column per condition; descriptive only
HLA-DRA	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.8983422396130969	single CPM column per condition; descriptive only
HLA-DRB1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.940740337609693	single CPM column per condition; descriptive only
IFI30	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.35374033459240617	single CPM column per condition; descriptive only
IFIT1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-3.146861414227657	single CPM column per condition; descriptive only
IFIT2	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-4.155866027590128	single CPM column per condition; descriptive only
IRF1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-3.9261439194936916	single CPM column per condition; descriptive only
ISG15	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-2.7374546268646633	single CPM column per condition; descriptive only
LAMP1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	0.7281002400792591	single CPM column per condition; descriptive only
LAMP2	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.12127479550779441	single CPM column per condition; descriptive only
LAMP3	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.5646227287254209	single CPM column per condition; descriptive only
NLRC5	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-1.3408703808301272	single CPM column per condition; descriptive only
RFX5	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-0.805236552451376	single CPM column per condition; descriptive only
STAT1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-3.352641139926016	single CPM column per condition; descriptive only
TAP1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-2.7776511108114237	single CPM column per condition; descriptive only
TAP2	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	0H	D4_IFNy_rux_LPS0H	D4_IFNy_LPS0H	-2.0360130275995907	single CPM column per condition; descriptive only
B2M	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.8300890057624866	single CPM column per condition; descriptive only
CD74	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.9127692169064421	single CPM column per condition; descriptive only
CIITA	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-1.7604500561922594	single CPM column per condition; descriptive only
CTSB	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	0.39348122418608966	single CPM column per condition; descriptive only
CTSD	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	0.4373064803581528	single CPM column per condition; descriptive only
CTSL	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.8381295865670726	single CPM column per condition; descriptive only
CTSS	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	0.07729287280805863	single CPM column per condition; descriptive only
CXCL10	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-6.72481363735331	single CPM column per condition; descriptive only
CXCL9	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-5.885815667696635	single CPM column per condition; descriptive only
GBP1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-4.859183595177072	single CPM column per condition; descriptive only
GBP2	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-2.8594869141771992	single CPM column per condition; descriptive only
HLA-DMA	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.7856962380317576	single CPM column per condition; descriptive only
HLA-DMB	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-1.0378802164039858	single CPM column per condition; descriptive only
HLA-DPA1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-1.129827866580806	single CPM column per condition; descriptive only
HLA-DPB1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.8651990605061055	single CPM column per condition; descriptive only
HLA-DRA	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.7615149314156344	single CPM column per condition; descriptive only
HLA-DRB1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.8679512597688266	single CPM column per condition; descriptive only
IFI30	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.8677301323444362	single CPM column per condition; descriptive only
IFIT1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-3.576847832506112	single CPM column per condition; descriptive only
IFIT2	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-3.3390284927126306	single CPM column per condition; descriptive only
IRF1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-2.6669916293728857	single CPM column per condition; descriptive only
ISG15	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-3.5415020770187047	single CPM column per condition; descriptive only
LAMP1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	0.7399359433303481	single CPM column per condition; descriptive only
LAMP2	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.07762699304213783	single CPM column per condition; descriptive only
LAMP3	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.5195750173644877	single CPM column per condition; descriptive only
NLRC5	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-1.3130228831300483	single CPM column per condition; descriptive only
RFX5	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-0.7497412852878123	single CPM column per condition; descriptive only
STAT1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-3.2289306600678387	single CPM column per condition; descriptive only
TAP1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-2.974750032028468	single CPM column per condition; descriptive only
TAP2	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	1H	D4_IFNy_rux_LPS1H	D4_IFNy_LPS1H	-2.085107843753085	single CPM column per condition; descriptive only
B2M	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.9015996955558876	single CPM column per condition; descriptive only
CD74	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.945758234596056	single CPM column per condition; descriptive only
CIITA	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-2.734352984657213	single CPM column per condition; descriptive only
CTSB	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	0.1606376843155619	single CPM column per condition; descriptive only
CTSD	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	0.18623622158674813	single CPM column per condition; descriptive only
CTSL	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.5724443304739886	single CPM column per condition; descriptive only
CTSS	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.06979404737747252	single CPM column per condition; descriptive only
CXCL10	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-7.70811315668574	single CPM column per condition; descriptive only
CXCL9	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-7.493623137502364	single CPM column per condition; descriptive only
GBP1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-2.692346632202179	single CPM column per condition; descriptive only
GBP2	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-1.1682534413498225	single CPM column per condition; descriptive only
HLA-DMA	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-1.0171384191875266	single CPM column per condition; descriptive only
HLA-DMB	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-1.0553853955948025	single CPM column per condition; descriptive only
HLA-DPA1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-1.1606564764109173	single CPM column per condition; descriptive only
HLA-DPB1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.9201757075765702	single CPM column per condition; descriptive only
HLA-DRA	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.9149287112337383	single CPM column per condition; descriptive only
HLA-DRB1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.8714745270140813	single CPM column per condition; descriptive only
IFI30	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.5611132354037092	single CPM column per condition; descriptive only
IFIT1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-2.569368121981195	single CPM column per condition; descriptive only
IFIT2	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-3.5567605081065032	single CPM column per condition; descriptive only
IRF1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-1.5971094651139683	single CPM column per condition; descriptive only
ISG15	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-2.0456732840236906	single CPM column per condition; descriptive only
LAMP1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	0.8588913227418562	single CPM column per condition; descriptive only
LAMP2	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	0.06607874484415888	single CPM column per condition; descriptive only
LAMP3	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-1.741512258036039	single CPM column per condition; descriptive only
NLRC5	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-1.3860441301931985	single CPM column per condition; descriptive only
RFX5	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-0.4431438025710248	single CPM column per condition; descriptive only
STAT1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-2.862936626777495	single CPM column per condition; descriptive only
TAP1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-2.2470505264809155	single CPM column per condition; descriptive only
TAP2	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	3H	D4_IFNy_rux_LPS3H	D4_IFNy_LPS3H	-1.5986415502261293	single CPM column per condition; descriptive only
B2M	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	6H	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-0.8786665157457421	single CPM column per condition; descriptive only
CD74	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	6H	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-0.7614610651429814	single CPM column per condition; descriptive only
CIITA	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	6H	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-0.7730873231626783	single CPM column per condition; descriptive only
CTSB	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	6H	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	0.25597125073714544	single CPM column per condition; descriptive only
CTSD	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	6H	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	0.3290833938361555	single CPM column per condition; descriptive only
CTSL	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	6H	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-0.5324593976236525	single CPM column per condition; descriptive only
CTSS	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	6H	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-0.016387931343569306	single CPM column per condition; descriptive only
CXCL10	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	6H	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-7.895425897810127	single CPM column per condition; descriptive only
CXCL9	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	6H	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-7.4659756960507	single CPM column per condition; descriptive only
GBP1	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	6H	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-3.0198790911346727	single CPM column per condition; descriptive only
GBP2	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	6H	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-1.1213139363502123	single CPM column per condition; descriptive only
HLA-DMA	D4_IFNy_rux_vs_D4_IFNy_matched_LPS	6H	D4_IFNy_rux_LPS6H	D4_IFNy_LPS6H	-0.8126165862470991	single CPM column per condition; descriptive only
