seed	analysis_window	n_requested	event_probability_before_censoring	effect_pattern	early_hazard_ratio_per_latent_sd	late_hazard_ratio_per_latent_sd	censoring_mechanism	dropout_target	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	positive_call_probability	negative_call_probability	median_score_z	median_one_step_log_hr	median_usable_n	median_observed_events	median_assigned_dropout	median_observed_pre_event_dropout
54901	early_window_diagnostic	120	0.15	crossing	2.0	0.5	event_risk_dependent	0.25	500	0	0.0	0	0.0	4.336808689942018e-19	0.007624340461552241	0.0	0.0			108.0	1.0	0.25	0.25
54901	late_landmark_diagnostic	120	0.15	crossing	2.0	0.5	event_risk_dependent	0.25	500	0	0.0	0	0.0	4.336808689942018e-19	0.007624340461552241	0.0	0.0			88.0	3.0	0.0975609756097561	0.0975609756097561
54901	whole_followup	120	0.15	crossing	2.0	0.5	joint_score_event_risk	0.25	500	91	0.182	57	0.114	0.08903690099400285	0.1448490898423155	0.0	0.114	-2.149291513677886	-0.7107307284690563	108.0	7.0	0.24770642201834864	0.24770642201834864
54901	early_window_diagnostic	120	0.15	crossing	2.0	0.5	joint_score_event_risk	0.25	500	0	0.0	0	0.0	4.336808689942018e-19	0.007624340461552241	0.0	0.0			108.0	2.0	0.24770642201834864	0.24770642201834864
54901	late_landmark_diagnostic	120	0.15	crossing	2.0	0.5	joint_score_event_risk	0.25	500	23	0.046	15	0.03	0.018263213197913384	0.04890366683594573	0.0	0.03	-2.337548614639626	-0.7476359990376279	88.5	5.0	0.10440891472868218	0.10440891472868218
54901	whole_followup	120	0.3	null	1.0	1.0	administrative_only	0.0	500	500	1.0	25	0.05	0.034093745243849435	0.0727681611715476	0.024	0.026	0.10472661039320813	0.021050911736389646	109.0	33.0	0.0	0.0
54901	early_window_diagnostic	120	0.3	null	1.0	1.0	administrative_only	0.0	500	497	0.994	20	0.04	0.026040797389777257	0.060973595834850805	0.026	0.014	0.09473522722576448	0.02385417302252683	109.0	18.0	0.0	0.0
54901	late_landmark_diagnostic	120	0.3	null	1.0	1.0	administrative_only	0.0	500	461	0.922	28	0.056	0.03902562068315149	0.0797447936467069	0.03	0.026	0.0043933659191883025	0.0012292245581103853	90.0	14.0	0.0	0.0
54901	whole_followup	120	0.3	null	1.0	1.0	independent	0.25	500	500	1.0	31	0.062	0.044019209142681565	0.08665971310163822	0.02	0.042	-0.054886052749276354	-0.01181578594567538	108.0	29.0	0.25	0.20754716981132076
54901	early_window_diagnostic	120	0.3	null	1.0	1.0	independent	0.25	500	496	0.992	27	0.054	0.03737435018105752	0.07742656151064709	0.018	0.036	-0.03292879544569881	-0.009257718081576024	108.0	17.0	0.25	0.20754716981132076
