gene	source	query	hit_count	url	notes
SPP1	EuropePMC	"(""SPP1"" OR osteopontin) autoimmune"	7405	https://europepmc.org/search?query=%28%22SPP1%22+OR+osteopontin%29+autoimmune	"[{""doi"": null, ""id"": ""PMC12982015"", ""journal"": ""Front Endocrinol (Lausanne)"", ""source"": ""PMC"", ""title"": ""Serum osteopontin is associated with coronary plaque vulnerability and short-term cardiovascular events: a prospective cohort study"", ""year"": null}, {""doi"": ""10.1161/jaha.125.041336"", ""id"": ""41294139"", ""journal"": ""J Am Heart Assoc"", ""source"": ""MED"", ""title"": ""Intracellular Osteopontin of Macrophages Promotes Carotid Plaques Formation by Inducing Foam Cells and Releasing Proinflammatory Cytokines."", ""year"": ""2026""}, {""doi"": ""10.3892/mi.2026.310"", ""id"": ""41928921"", ""journal"": ""Med Int (Lond)"", ""source"": ""MED"", ""title"": ""Osteopontin in pancreatic cancer: A systematic review."", ""year"": ""2026""}]"
SPP1	ClinicalTrials.gov	osteopontin autoimmune	10	https://clinicaltrials.gov/search?term=osteopontin+autoimmune	"[{""conditions"": ""Multiple Sclerosis;Multiple Sclerosis, Relapsing-Remitting"", ""interventions"": ""Dimethyl Fumarate"", ""nct_id"": ""NCT02675413"", ""phase"": ""PHASE4"", ""status"": ""WITHDRAWN"", ""title"": ""Mechanisms of Action of Dimethyl Fumarate (Tecfidera) in Relapsing MS""}, {""conditions"": ""Rheumatoid Arthritis"", ""interventions"": ""CP-690,550 + methotrexate;Placebo + Methotrexate"", ""nct_id"": ""NCT00976599"", ""phase"": ""PHASE2"", ""status"": ""COMPLETED"", ""title"": ""A Study To Evaluate The Mechanism Of Action Of CP-690,550 In Patients With Rheumatoid Arthritis""}, {""conditions"": ""Relapsing Remitting Multiple Sclerosis (RRMS)"", ""interventions"": ""Placebo;Indole-3-propionic acid (IPA)"", ""nct_id"": ""NCT07318129"", ""phase"": ""NA"", ""status"": ""RECRUITING"", ""title"": ""Indole-3-PROpionic Acid Clinical Trials - Multiple Sclerosis""}, {""conditions"": ""Idiopathic Intracranial Hypertension"", ""interventions"": ""Blood punction;Central blood sampling;Intracranial pressure measurement"", ""nct_id"": ""NCT06059703"", ""phase"": ""NA"", ""status"": ""RECRUITING"", ""title"": ""Biomarkers in the Etiology of Idiopathic Intracranial Hypertension""}, {""conditions"": ""History of Exposure to Silica or Asbestosis;Positive Testing for ANA as a Marker of Systemic Autoimmune Diseases"", ""interventions"": ""Blood collection;Blood sample;Blood sample"", ""nct_id"": ""NCT04473742"", ""phase"": ""NA"", ""status"": ""COMPLETED"", ""title"": ""Effects of Silica and Asbestos Fibres on the Efferocytosis Capacities of Macrophages""}, {""conditions"": ""Multiple Sclerosis, Chronic Progressive;Nervous System Diseases"", ""interventions"": ""Rituximab IT;methylprednisolone IV;Rituximab IV"", ""nct_id"": ""NCT02545959"", ""phase"": ""PHASE2"", ""status"": ""COMPLETED"", ""title"": ""Intrathecal Rituximab in Progressive Multiple Sclerosis""}, {""conditions"": ""Stroke in Young Adults"", ""interventions"": ""antiphospholipid Abs"", ""nct_id"": ""NCT03561285"", ""phase"": """", ""status"": ""UNKNOWN"", ""title"": ""Antiphospholipid Antibodies & Osteopontin as Risk Factors for Cerebrovascular Stroke in Young Adults""}, {""conditions"": ""Giant Cell Arteritis (GCA)"", ""interventions"": ""Bosentan;Glucocorticoids"", ""nct_id"": ""NCT06957002"", ""phase"": ""PHASE2"", ""status"": ""NOT_YET_RECRUITING"", ""title"": ""Bosentan in the Treatment of Giant Cell Arteritis""}, {""conditions"": ""Primary Progressive Multiple Sclerosis;Secondary Progressive Multiple Sclerosis"", ""interventions"": ""Natalizumab"", ""nct_id"": ""NCT01077466"", ""phase"": ""PHASE2"", ""status"": ""COMPLETED"", ""title"": ""Natalizumab Treatment of Progressive Multiple Sclerosis""}, {""conditions"": ""Progressive Multiple Sclerosis"", ""interventions"": ""methylprednisolone"", ""nct_id"": ""NCT01305837"", ""phase"": ""PHASE2"", ""status"": ""COMPLETED"", ""title"": ""Cyclic Oral Methylprednisolone Trial in Multiple Sclerosis""}]"
SPP1	ChEMBL	SPP1	0	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL1741309	"{""best_target"": {""accessions"": ""P10451"", ""gene_symbols"": ""SPP1"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Osteopontin"", ""target_chembl_id"": ""CHEMBL1741309"", ""target_type"": ""SINGLE PROTEIN""}, ""n_search_hits"": 1}"
SPP1	Google Patents	osteopontin SPP1 autoimmune antibody	NA_browser	https://patents.google.com/?q=osteopontin+SPP1+autoimmune+antibody	query URL recorded; no unauthenticated count API used
SPP1	OpenTargets	SPP1	0	https://platform.opentargets.org/search?q=SPP1	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
TREM1	EuropePMC	"(""TREM1"" OR ""TREM-1"") autoimmune"	1613	https://europepmc.org/search?query=%28%22TREM1%22+OR+%22TREM-1%22%29+autoimmune	"[{""doi"": ""10.3390/ijms262110386"", ""id"": ""41226426"", ""journal"": ""Int J Mol Sci"", ""source"": ""MED"", ""title"": ""Triggering Receptor Expressed on Myeloid Cells-1 (TREM-1) in Inflammation and Disease: Mechanisms, Therapeutic Potential, and Future Directions."", ""year"": ""2025""}, {""doi"": ""10.1177/09612033251396268"", ""id"": ""41233954"", ""journal"": ""Lupus"", ""source"": ""MED"", ""title"": ""A high level of sTREM-1 predicts occurrence of thrombosis, obstetrical event or death in a prospective cohort of patients with antiphospholipid antibodies and/or systemic lupus. Results of the APLART study."", ""year"": ""2025""}, {""doi"": ""10.14309/ctg.0000000000000960"", ""id"": ""41563717"", ""journal"": ""Clin Transl Gastroenterol"", ""source"": ""MED"", ""title"": ""Combining Cytokine-Related Biomarkers to Better Define Tumor Necrosis Factor-\u03b1 Antagonist Response in Inflammatory Bowel Disease: An Observational Cohort Study."", ""year"": ""2026""}]"
TREM1	ClinicalTrials.gov	TREM1 autoimmune	2	https://clinicaltrials.gov/search?term=TREM1+autoimmune	"[{""conditions"": ""Churg-Strauss Syndrome;Eosinophilic Asthma;Eosinophilic Esophagitis;Eosinophilic Pneumonia"", ""interventions"": ""Autoantibody ELISA;Granulocyte Immunofluorescence"", ""nct_id"": ""NCT04671446"", ""phase"": """", ""status"": ""COMPLETED"", ""title"": ""Identification of Autoantigens in EGPA and Severe Eosinophilic Asthma""}, {""conditions"": ""Antiphospholipid Syndrome;COVID-19"", ""interventions"": ""characterization of aPL"", ""nct_id"": ""NCT05128760"", ""phase"": """", ""status"": ""UNKNOWN"", ""title"": ""Impact of Antiphospholipid Antibodies on Thrombin Generation During Sars-CoV2 Infection (TACIT2 Study)""}]"
TREM1	ChEMBL	TREM1	0	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL1697674	"{""best_target"": {""accessions"": ""Q9NP99"", ""gene_symbols"": ""TREM1"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Triggering receptor expressed on myeloid cells 1"", ""target_chembl_id"": ""CHEMBL1697674"", ""target_type"": ""SINGLE PROTEIN""}, ""n_search_hits"": 1}"
TREM1	Google Patents	TREM1 inhibitor autoimmune inflammatory bowel disease	NA_browser	https://patents.google.com/?q=TREM1+inhibitor+autoimmune+inflammatory+bowel+disease	query URL recorded; no unauthenticated count API used
TREM1	OpenTargets	TREM1	3	https://platform.opentargets.org/search?q=TREM1	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
TREM2	EuropePMC	"(""TREM2"" OR ""TREM-2"") autoimmune"	3393	https://europepmc.org/search?query=%28%22TREM2%22+OR+%22TREM-2%22%29+autoimmune	"[{""doi"": ""10.3389/fimmu.2025.1648691"", ""id"": ""40948752"", ""journal"": ""Front Immunol"", ""source"": ""MED"", ""title"": ""Small molecules as ligands in the tuning of immune regulatory receptors."", ""year"": ""2025""}, {""doi"": null, ""id"": ""PMC12367087"", ""journal"": ""Pharmaceutical patent analyst"", ""source"": ""PMC"", ""title"": ""Patent highlights February\u2013March 2024"", ""year"": null}, {""doi"": ""10.1186/s12979-025-00510-2"", ""id"": ""40301833"", ""journal"": ""Immun Ageing"", ""source"": ""MED"", ""title"": ""Chronic IL-21 drives neuroinflammation and promotes lipid accumulation in microglia."", ""year"": ""2025""}]"
TREM2	ClinicalTrials.gov	TREM2 autoimmune	2	https://clinicaltrials.gov/search?term=TREM2+autoimmune	"[{""conditions"": ""Multiple Sclerosis, MS;Neuromyelitis Optica Spectrum Disorders;Myelin Oligodendrocyte Glycoprotein Antibody-associated Disease;Acute Disseminated Encephalomyelitis;Clinically Isolated Syndrome;Demyelinating Disorder"", ""interventions"": """", ""nct_id"": ""NCT06541626"", ""phase"": """", ""status"": ""RECRUITING"", ""title"": ""Sun Yat-Sen Cohort of CNS Idiopathic Inflammatory Demyelinating Diseases""}, {""conditions"": ""Autoimmune Encephalitis"", ""interventions"": ""Minocycline"", ""nct_id"": ""NCT06033846"", ""phase"": ""PHASE2"", ""status"": ""COMPLETED"", ""title"": ""Efficacy and Safety of Adjunctive Minocycline in the Treatment of Autoimmune Encephalitis""}]"
TREM2	ChEMBL	TREM2	6	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL6196124	"{""best_target"": {""accessions"": ""Q9NZC2"", ""gene_symbols"": ""TREM2"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Triggering receptor expressed on myeloid cells 2"", ""target_chembl_id"": ""CHEMBL6196124"", ""target_type"": ""SINGLE PROTEIN""}, ""n_search_hits"": 1}"
TREM2	Google Patents	TREM2 agonist autoimmune multiple sclerosis	NA_browser	https://patents.google.com/?q=TREM2+agonist+autoimmune+multiple+sclerosis	query URL recorded; no unauthenticated count API used
TREM2	OpenTargets	TREM2	0	https://platform.opentargets.org/search?q=TREM2	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
TYROBP	EuropePMC	"(""TYROBP"" OR DAP12) autoimmune"	2193	https://europepmc.org/search?query=%28%22TYROBP%22+OR+DAP12%29+autoimmune	"[{""doi"": ""10.3390/biom15111549"", ""id"": ""41301467"", ""journal"": ""Biomolecules"", ""source"": ""MED"", ""title"": ""Bullous Pemphigoid Develops Independently of DAP12."", ""year"": ""2025""}, {""doi"": ""10.3390/cells14191520"", ""id"": ""41090749"", ""journal"": ""Cells"", ""source"": ""MED"", ""title"": ""Is TREM2 a Stretch: Implications of TREM2 Along Spinal Cord Circuits in Health, Aging, Injury, and Disease."", ""year"": ""2025""}, {""doi"": ""10.7759/cureus.98664"", ""id"": ""41510405"", ""journal"": ""Cureus"", ""source"": ""MED"", ""title"": ""Nasu-Hakola Disease Presenting as Rapidly Progressive Dementia With Seizures: A TREM2 Mutation Case Without Skeletal Involvement."", ""year"": ""2025""}]"
TYROBP	ClinicalTrials.gov	TYROBP autoimmune	0	https://clinicaltrials.gov/search?term=TYROBP+autoimmune	[]
TYROBP	ChEMBL	TYROBP		https://www.ebi.ac.uk/chembl/g/#search_results/all/query=TYROBP	"{""best_target"": {}, ""n_search_hits"": 0}"
TYROBP	Google Patents	TYROBP DAP12 autoimmune	NA_browser	https://patents.google.com/?q=TYROBP+DAP12+autoimmune	query URL recorded; no unauthenticated count API used
TYROBP	OpenTargets	TYROBP	0	https://platform.opentargets.org/search?q=TYROBP	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
ITGAM	EuropePMC	"(""ITGAM"" OR CD11b OR ""complement receptor 3"") autoimmune"	29214	https://europepmc.org/search?query=%28%22ITGAM%22+OR+CD11b+OR+%22complement+receptor+3%22%29+autoimmune	"[{""doi"": ""10.1007/s10072-026-08944-2"", ""id"": ""41814011"", ""journal"": ""Neurol Sci"", ""source"": ""MED"", ""title"": ""Downregulation of dual-specificity phosphatase 1 (DUSP1) in post-mortem brain white matter in progressive multiple sclerosis."", ""year"": ""2026""}, {""doi"": ""10.1016/j.bbrep.2025.102422"", ""id"": ""41550491"", ""journal"": ""Biochem Biophys Rep"", ""source"": ""MED"", ""title"": ""Molecular crosstalk between AHR, CYP1B1, and ITGAM in diabetic nephropathy: Integrated insights from bioinformatics and experimental validation."", ""year"": ""2026""}, {""doi"": ""10.3389/fimmu.2025.1671848"", ""id"": ""41583494"", ""journal"": ""Front Immunol"", ""source"": ""MED"", ""title"": ""Sustained STING-IRF7 signaling aggravates LPS-induced endometrial inflammation via excessive neutrophil extracellular traps generation."", ""year"": ""2025""}]"
ITGAM	ClinicalTrials.gov	ITGAM autoimmune	1	https://clinicaltrials.gov/search?term=ITGAM+autoimmune	"[{""conditions"": ""Systemic Lupus Erythematosus"", ""interventions"": """", ""nct_id"": ""NCT01230112"", ""phase"": """", ""status"": ""COMPLETED"", ""title"": ""The Role of ITGAM in Systemic Lupus Erythematosus""}]"
ITGAM	ChEMBL	ITGAM	0	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3826	"{""best_target"": {""accessions"": ""P11215"", ""gene_symbols"": ""ITGAM"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Integrin alpha-M"", ""target_chembl_id"": ""CHEMBL3826"", ""target_type"": ""SINGLE PROTEIN""}, ""n_search_hits"": 4}"
ITGAM	Google Patents	ITGAM CD11b autoimmune integrin	NA_browser	https://patents.google.com/?q=ITGAM+CD11b+autoimmune+integrin	query URL recorded; no unauthenticated count API used
ITGAM	OpenTargets	ITGAM	0	https://platform.opentargets.org/search?q=ITGAM	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
ITGAX	EuropePMC	"(""ITGAX"" OR CD11c) autoimmune"	19941	https://europepmc.org/search?query=%28%22ITGAX%22+OR+CD11c%29+autoimmune	"[{""doi"": ""10.3389/fimmu.2025.1662894"", ""id"": ""41668764"", ""journal"": ""Front Immunol"", ""source"": ""MED"", ""title"": ""CD11c-Cre driven deletion of &lt;i&gt;Irf8&lt;/i&gt; reveals the effect of somatic mosaicism in a mouse model of SLE."", ""year"": ""2025""}, {""doi"": ""10.1158/2326-6066.cir-25-0635"", ""id"": ""41686183"", ""journal"": ""Cancer Immunol Res"", ""source"": ""MED"", ""title"": ""The Presence of CD11c+ B Cells with Potent Effector Memory Phenotype in Lung Adenocarcinoma Correlates with Overall Patient Survival."", ""year"": ""2026""}, {""doi"": ""10.3390/ijms262311494"", ""id"": ""41373648"", ""journal"": ""Int J Mol Sci"", ""source"": ""MED"", ""title"": ""Microglia in Brain Aging and Age-Related Diseases: Friends or Foes?"", ""year"": ""2025""}]"
ITGAX	ClinicalTrials.gov	ITGAX autoimmune	1	https://clinicaltrials.gov/search?term=ITGAX+autoimmune	"[{""conditions"": ""SLE;Rheumatoid Arthritis;Healthy Subjects"", ""interventions"": """", ""nct_id"": ""NCT00364728"", ""phase"": """", ""status"": ""UNKNOWN"", ""title"": ""Efferocytosis and Genomic Polymorphism in Autoimmune Diseases""}]"
ITGAX	ChEMBL	ITGAX		https://www.ebi.ac.uk/chembl/g/#search_results/all/query=ITGAX	"{""best_target"": {}, ""n_search_hits"": 0}"
ITGAX	Google Patents	ITGAX CD11c autoimmune antibody	NA_browser	https://patents.google.com/?q=ITGAX+CD11c+autoimmune+antibody	query URL recorded; no unauthenticated count API used
ITGAX	OpenTargets	ITGAX	0	https://platform.opentargets.org/search?q=ITGAX	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
FCGR2A	EuropePMC	"(""FCGR2A"" OR ""Fc gamma receptor IIA"") autoimmune"	1323	https://europepmc.org/search?query=%28%22FCGR2A%22+OR+%22Fc+gamma+receptor+IIA%22%29+autoimmune	"[{""doi"": ""10.1007/s13312-025-00047-z"", ""id"": ""40214943"", ""journal"": ""Indian Pediatr"", ""source"": ""MED"", ""title"": ""FCGR2A Gene Polymorphism Association in Children with Multisystem Inflammatory Syndrome."", ""year"": ""2025""}, {""doi"": ""10.1016/j.autrev.2025.103974"", ""id"": ""41371427"", ""journal"": ""Autoimmun Rev"", ""source"": ""MED"", ""title"": ""Fc\u03b3RIIa in autoimmunity: Unraveling pathogenic mechanisms and therapeutic opportunities."", ""year"": ""2026""}, {""doi"": ""10.1002/prp2.70261"", ""id"": ""42170767"", ""journal"": ""Pharmacol Res Perspect"", ""source"": ""MED"", ""title"": ""Impact of FCGR2A and FCGR3A Gene Variants on the Response to Rituximab in Patients With Glomerular Diseases."", ""year"": ""2026""}]"
FCGR2A	ClinicalTrials.gov	FCGR2A autoimmune	1	https://clinicaltrials.gov/search?term=FCGR2A+autoimmune	"[{""conditions"": ""Systemic Lupus Erythematosus;Systemic Scleroderma Meeting;ANCA Vasculitis;Inflammatory Myositis;Gougerot-Sj\u00f6gren Syndrome;Rheumatoid Arthritis"", ""interventions"": """", ""nct_id"": ""NCT06593041"", ""phase"": """", ""status"": ""RECRUITING"", ""title"": ""ROLE of PLATELETS in the PATHOPHYSIOLOGY of SYSTEMIC LUPUS""}]"
FCGR2A	ChEMBL	FCGR2A	1	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL5841	"{""best_target"": {""accessions"": ""P12318"", ""gene_symbols"": ""FCGR2A"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Low affinity immunoglobulin gamma Fc region receptor II-a"", ""target_chembl_id"": ""CHEMBL5841"", ""target_type"": ""SINGLE PROTEIN""}, ""n_search_hits"": 1}"
FCGR2A	Google Patents	FCGR2A autoimmune Fc receptor antibody	NA_browser	https://patents.google.com/?q=FCGR2A+autoimmune+Fc+receptor+antibody	query URL recorded; no unauthenticated count API used
FCGR2A	OpenTargets	FCGR2A	0	https://platform.opentargets.org/search?q=FCGR2A	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
FCGR3A	EuropePMC	"(""FCGR3A"" OR CD16A) autoimmune"	2606	https://europepmc.org/search?query=%28%22FCGR3A%22+OR+CD16A%29+autoimmune	"[{""doi"": ""10.1002/prp2.70261"", ""id"": ""42170767"", ""journal"": ""Pharmacol Res Perspect"", ""source"": ""MED"", ""title"": ""Impact of FCGR2A and FCGR3A Gene Variants on the Response to Rituximab in Patients With Glomerular Diseases."", ""year"": ""2026""}, {""doi"": ""10.1172/jci192371"", ""id"": ""41697746"", ""journal"": ""J Clin Invest"", ""source"": ""MED"", ""title"": ""Type I IFN-dependent Fc\u03b3RIV signaling in murine monocytes promotes lethal anaphylaxis during viral infections."", ""year"": ""2026""}, {""doi"": ""10.3389/fimmu.2025.1661502"", ""id"": ""41000382"", ""journal"": ""Front Immunol"", ""source"": ""MED"", ""title"": ""Association of &lt;i&gt;FCGR2A&lt;/i&gt; rs1801274 and &lt;i&gt;FCGR3A&lt;/i&gt; rs396991 polymorphisms with various autoimmune diseases: a meta-analysis."", ""year"": ""2025""}]"
FCGR3A	ClinicalTrials.gov	FCGR3A autoimmune	6	https://clinicaltrials.gov/search?term=FCGR3A+autoimmune	"[{""conditions"": ""Rheumatoid Arthritis"", ""interventions"": ""Rituximab"", ""nct_id"": ""NCT02304354"", ""phase"": ""PHASE3"", ""status"": ""COMPLETED"", ""title"": ""Relationship Between T LYmphocytes Depletion and Clinical Response to RITUXimab in Rheumatoid Arthritis (LYRITUX)""}, {""conditions"": ""Immune Thrombocytopenia"", ""interventions"": ""blood sample"", ""nct_id"": ""NCT02287649"", ""phase"": ""NA"", ""status"": ""COMPLETED"", ""title"": ""Polymorphism and Auto-reactive B and T Cells Subsets in Adult's Immune Thrombocytopenia (ITP)""}, {""conditions"": ""Immune Thrombocytopenic Purpura (ITP)"", ""interventions"": ""Eltrombopag"", ""nct_id"": ""NCT02877212"", ""phase"": ""PHASE3"", ""status"": ""UNKNOWN"", ""title"": ""Association of Fc\u03b3RIIIA Polymorphism and THPO Expression With Response to Eltrombopag in Refractory ITP Patients""}, {""conditions"": ""Neuromyelitis Optica Spectrum Disorders;MOGAD;Multiple Sclerosis"", ""interventions"": ""Blood draw for the laboratory assessment"", ""nct_id"": ""NCT06865274"", ""phase"": ""NA"", ""status"": ""RECRUITING"", ""title"": ""Frequency of FCGR3A Gene Polymorphisms in Patients With Neuromyelitis Optica Spectrum Disorders, Anti-oligodendrocyte Myelin Protein Antibody Disease, and Multiple Sclerosis.""}, {""conditions"": ""Rheumatoid Arthritis"", ""interventions"": ""adalimumab"", ""nct_id"": ""NCT01382160"", ""phase"": ""PHASE4"", ""status"": ""COMPLETED"", ""title"": ""Serum Concentration of Adalimumab as a Predictive Factor of Clinical Outcomes in Rheumatoid Arthritis (AFORA)""}, {""conditions"": ""Rheumatoid Arthritis"", ""interventions"": ""infliximab"", ""nct_id"": ""NCT00840957"", ""phase"": """", ""status"": ""COMPLETED"", ""title"": ""Pharmaco Kinetic Variability of Infliximab in Rheumatoid Arthritis""}]"
FCGR3A	ChEMBL	FCGR3A	0	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3856162	"{""best_target"": {""accessions"": ""P08637"", ""gene_symbols"": ""FCGR3A"", ""organism"": ""Homo sapiens"", ""pref_name"": ""Low affinity immunoglobulin gamma Fc region receptor III-A"", ""target_chembl_id"": ""CHEMBL3856162"", ""target_type"": ""SINGLE PROTEIN""}, ""n_search_hits"": 1}"
FCGR3A	Google Patents	FCGR3A CD16A autoimmune Fc receptor	NA_browser	https://patents.google.com/?q=FCGR3A+CD16A+autoimmune+Fc+receptor	query URL recorded; no unauthenticated count API used
FCGR3A	OpenTargets	FCGR3A	0	https://platform.opentargets.org/search?q=FCGR3A	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
C1QA	EuropePMC	"(""C1QA"" OR C1q) autoimmune"	11787	https://europepmc.org/search?query=%28%22C1QA%22+OR+C1q%29+autoimmune	"[{""doi"": ""10.1155/crii/4667037"", ""id"": ""42147803"", ""journal"": ""Case Reports Immunol"", ""source"": ""MED"", ""title"": ""Homozygous C1qA Deficiency Presenting as Early-Onset Systemic Lupus Erythematosus: A Case Report With a Literature Review."", ""year"": ""2026""}, {""doi"": ""10.3389/fimmu.2026.1710424"", ""id"": ""41929519"", ""journal"": ""Front Immunol"", ""source"": ""MED"", ""title"": ""Epstein Barr virus antigen-induced autoantibodies against complement C1q exacerbate renal disease in lupus-prone mice."", ""year"": ""2026""}, {""doi"": ""10.1186/s10020-026-01445-0"", ""id"": ""41781869"", ""journal"": ""Mol Med"", ""source"": ""MED"", ""title"": ""Complement protein C1q induces endothelial apoptosis through C1qBP regulation of mitochondrial function in lung endothelial cells in systemic sclerosis."", ""year"": ""2026""}]"
C1QA	ClinicalTrials.gov	C1q autoimmune	10	https://clinicaltrials.gov/search?term=C1q+autoimmune	"[{""conditions"": ""Lupus Nephritis"", ""interventions"": ""different serum and urine biomarkers"", ""nct_id"": ""NCT04534647"", ""phase"": """", ""status"": ""UNKNOWN"", ""title"": ""Serological and Urinary Biomarkers in Latin American Patients With Systemic Lupus Erythematosus: GLADEL 2.0 Cohort""}, {""conditions"": ""Purpura, Thrombocytopenic, Idiopathic"", ""interventions"": ""BIVV009 6.5 grams;BIVV009 7.5 grams"", ""nct_id"": ""NCT03275454"", ""phase"": ""PHASE1"", ""status"": ""COMPLETED"", ""title"": ""A Study to Assess Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Multiple- Dose BIVV009 in Participants With Chronic Immune Thrombocytopenia (ITP)""}, {""conditions"": ""Systemic Lupus Erythematosus"", ""interventions"": """", ""nct_id"": ""NCT04951427"", ""phase"": """", ""status"": ""UNKNOWN"", ""title"": ""PRediction Of Flares In Lupus With autoantibodiEs and Chemokines""}, {""conditions"": ""Lupus Nephritis (LN)"", ""interventions"": ""Vonsetamig;Odronextamab"", ""nct_id"": ""NCT06975787"", ""phase"": ""PHASE1"", ""status"": ""RECRUITING"", ""title"": ""Dose Escalation Study With Bispecific Antibodies in Adult Patients With Lupus Nephritis""}, {""conditions"": ""Lupus Erythematosus, Systemic"", ""interventions"": ""Autoantibodies evaluation in lupus"", ""nct_id"": ""NCT05193591"", ""phase"": """", ""status"": ""RECRUITING"", ""title"": ""Anti-C1s, Anti-HMGB1 and Anti-C1q Autoantibodies in Systemic Lupus Erythematosus (DYSALARM-322)""}, {""conditions"": ""Chronic Immune Thrombocytopenia;Primary Immune Thrombocytopenia;Adult Immune Thrombocytopenia"", ""interventions"": ""No intervention"", ""nct_id"": ""NCT06665308"", ""phase"": """", ""status"": ""COMPLETED"", ""title"": ""Cognitive Status, Fatigue and Inflammation in Patients With Immune Thrombocytopenia (ITP)""}, {""conditions"": ""Lupus Erythematosus, Systemic"", ""interventions"": ""Biological analysis"", ""nct_id"": ""NCT02625831"", ""phase"": """", ""status"": ""COMPLETED"", ""title"": ""Anti-ficolin-3 Autoantibodies in Lupus Nephritis""}, {""conditions"": ""Guillain-Barre Syndrome"", ""interventions"": ""Tanruprubart"", ""nct_id"": ""NCT07020819"", ""phase"": ""PHASE3"", ""status"": ""RECRUITING"", ""title"": ""An Open Label Clinical Study to Evaluate Tanruprubart (Also Commonly Known as ANX005) in Participants With Guillain-Barr\u00e9 Syndrome (FORWARD Study)""}, {""conditions"": ""Lupus Nephritis"", ""interventions"": ""ANX009"", ""nct_id"": ""NCT05780515"", ""phase"": ""PHASE1"", ""status"": ""COMPLETED"", ""title"": ""A Study of ANX009 in Adult Participants With Lupus Nephritis""}, {""conditions"": ""Lupus Erythematosus, Systemic"", ""interventions"": ""BIological analysis"", ""nct_id"": ""NCT03063281"", ""phase"": """", ""status"": ""COMPLETED"", ""title"": ""Anti-ficolin-2 Autoantibodies in Lupus Nephritis""}]"
C1QA	ChEMBL	C1QA		https://www.ebi.ac.uk/chembl/g/#search_results/all/query=C1QA	"{""best_target"": {}, ""n_search_hits"": 0}"
C1QA	Google Patents	anti-C1q autoimmune lupus nephritis	NA_browser	https://patents.google.com/?q=anti-C1q+autoimmune+lupus+nephritis	query URL recorded; no unauthenticated count API used
C1QA	OpenTargets	C1QA	1	https://platform.opentargets.org/search?q=C1QA	local opentargets_candidate_disease_hits.tsv row count used for selected autoimmune panel
C1QB	EuropePMC	"(""C1QB"" OR C1q) autoimmune"	11628	https://europepmc.org/search?query=%28%22C1QB%22+OR+C1q%29+autoimmune	"[{""doi"": ""10.1186/s10020-026-01445-0"", ""id"": ""41781869"", ""journal"": ""Mol Med"", ""source"": ""MED"", ""title"": ""Complement protein C1q induces endothelial apoptosis through C1qBP regulation of mitochondrial function in lung endothelial cells in systemic sclerosis."", ""year"": ""2026""}, {""doi"": ""10.1038/s41420-026-03051-9"", ""id"": ""41881968"", ""journal"": ""Cell Death Discov"", ""source"": ""MED"", ""title"": ""Transcriptome analysis of the prefrontal cortex identifies inflammatory genes associated with cognitive impairment in a model of multiple sclerosis."", ""year"": ""2026""}, {""doi"": ""10.1111/iji.12717"", ""id"": ""40506420"", ""journal"": ""Int J Immunogenet"", ""source"": ""MED"", ""title"": ""Identification of a Novel Homozygous C1QB Mutation in an Iranian Girl: Expanding the Clinical Spectrum of C1q Deficiency."", ""year"": ""2025""}]"
