artifact_type	geo_accession	sample_id	url	target_path	required_for
sample_chp	GSE228330	GSM7119012	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119012/suppl/GSM7119012_O36_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119012_O36_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119013	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119013/suppl/GSM7119013_O39_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119013_O39_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119013	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119013/suppl/GSM7119013_O39_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119013_O39_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119014	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119014/suppl/GSM7119014_O42_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119014_O42_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119014	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119014/suppl/GSM7119014_O42_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119014_O42_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119015	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119015/suppl/GSM7119015_O45_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119015_O45_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119015	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119015/suppl/GSM7119015_O45_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119015_O45_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119016	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119016/suppl/GSM7119016_O2_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119016_O2_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
sample_chp	GSE228330	GSM7119016	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119016/suppl/GSM7119016_O2_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119016_O2_Clariom_D_Human_.sst-rma-combined-dabg.chp.gz	raw_reprocessing_or_audit
sample_raw_cel	GSE228330	GSM7119017	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7119nnn/GSM7119017/suppl/GSM7119017_O7_Clariom_D_Human_.CEL.gz	data/quarantine/gse228330_pharmacodynamic/raw/GSM7119017_O7_Clariom_D_Human_.CEL.gz	raw_reprocessing_or_audit
